slug,name_en,leagues,height_weight_mismatch,mismatched_fields,height_cm_values,weight_kg_values,nationality_values,birthdate_values,resolved_height_cm,resolved_weight_kg,freshest_league,freshest_scraped_at
charlie-ewels,Charlie EWELS,premiership|national,yes,height_cm|weight_kg,premiership:197|national:196,premiership:116|national:111,premiership:['England']|national:['England'],premiership:None|national:None,196,111,national,2026-07-24T00:14:14+09:00
christian-lio-willie,Christian LIO-WILLIE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:192|national:184,super-rugby:112|national:109,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,192,112,super-rugby,2026-07-25T23:45:21+09:00
christian-poidevin,Christian POIDEVIN,mlr|national,yes,height_cm|weight_kg,mlr:190|national:192,mlr:106|national:104,mlr:[]|national:[],mlr:None|national:None,192,104,national,2026-07-24T00:35:39+09:00
christopher-hilsenbeck,Christopher HILSENBECK,mlr|national,yes,height_cm|weight_kg,mlr:182|national:188,mlr:88|national:79,mlr:['Germany']|national:['Germany'],mlr:None|national:None,188,79,national,2026-07-24T00:36:16+09:00
cian-prendergast,Cian PRENDERGAST,urc|national,yes,height_cm,urc:193|national:197,urc:112|national:112,urc:['Ireland']|national:['Ireland'],urc:None|national:None,197,112,national,2026-07-23T23:59:27+09:00
ciaran-frawley,Ciarán FRAWLEY,urc|national,yes,height_cm|weight_kg,urc:196|national:186,urc:94|national:96,urc:['Ireland']|national:['Ireland'],urc:None|national:None,186,96,national,2026-07-23T23:59:54+09:00
cleopas-kundiona,Cleopas KUNDIONA,premiership|national,yes,height_cm|weight_kg,premiership:179|national:186,premiership:126|national:125,premiership:['Zimbabwe']|national:['Zimbabwe'],premiership:None|national:None,186,125,national,2026-07-24T00:29:25+09:00
cobus-reinach,Cobus REINACH,urc|national,yes,height_cm|weight_kg,urc:173|national:178,urc:89|national:88,urc:['South Africa']|national:['South Africa'],urc:None|national:None,178,88,national,2026-07-24T00:07:09+09:00
codie-taylor,Codie TAYLOR,super-rugby|national,yes,height_cm|weight_kg,super-rugby:178|national:180,super-rugby:105|national:114,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,178,105,super-rugby,2026-07-25T23:44:53+09:00
conner-mooneyham,Conner MOONEYHAM,mlr|national,yes,height_cm|weight_kg,mlr:187|national:179,mlr:88|national:90,mlr:[]|national:[],mlr:None|national:None,179,90,national,2026-07-24T00:36:34+09:00
corey-toole,Corey TOOLE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:180|national:178,super-rugby:83|national:85,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,180,83,super-rugby,2026-07-25T23:48:43+09:00
cortez-ratima,Cortez RATIMA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:181|national:180,super-rugby:86|national:82,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,181,86,super-rugby,2026-07-25T23:40:43+09:00
cory-gilliland-daniel,Cory GILLILAND-DANIEL,mlr|national,yes,height_cm|weight_kg,mlr:185|national:191,mlr:107|national:112,mlr:['United-States']|national:['United-States'],mlr:None|national:None,191,112,national,2026-07-24T00:35:42+09:00
craig-casey,Craig CASEY,urc|national,yes,height_cm|weight_kg,urc:170|national:167,urc:74|national:75,urc:['Ireland']|national:['Ireland'],urc:None|national:None,167,75,national,2026-07-23T23:59:46+09:00
d-arcy-rae,D'Arcy RAE,urc|national,yes,height_cm|weight_kg,urc:187|national:188,urc:126|national:129,urc:['Scotland']|national:['Scotland'],urc:None|national:None,188,129,national,2026-07-23T23:47:05+09:00
dafydd-jenkins,Dafydd JENKINS,premiership|national,yes,height_cm|weight_kg,premiership:206|national:204,premiership:124|national:125,premiership:['Wales']|national:['Wales'],premiership:None|national:None,204,125,national,2026-07-24T00:09:11+09:00
damian-mckenzie,Damian MCKENZIE,super-rugby|national,yes,weight_kg,super-rugby:173|national:173,super-rugby:79|national:82,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,173,79,super-rugby,2026-07-25T23:40:51+09:00
damian-penaud,Damian PENAUD,top14|national,yes,height_cm|weight_kg,top14:193|national:185,top14:102|national:92,top14:['France']|national:['France'],top14:None|national:None,193,102,top14,2026-07-25T22:17:53+09:00
damian-willemse,Damian WILLEMSE,urc|national,yes,height_cm|weight_kg,urc:183|national:188,urc:99|national:105,urc:['South Africa']|national:['South Africa'],urc:None|national:None,188,105,national,2026-07-24T00:08:08+09:00
dan-sheehan,Dan SHEEHAN,urc|national,yes,height_cm|weight_kg,urc:196|national:193,urc:114|national:113,urc:['Ireland']|national:['Ireland'],urc:None|national:None,193,113,national,2026-07-23T23:58:46+09:00
danilo-fischetti,Danilo FISCHETTI,premiership|national,yes,height_cm|weight_kg,premiership:176|national:184,premiership:115|national:121,premiership:['Italy']|national:['Italy'],premiership:None|national:None,184,121,national,2026-07-24T00:00:48+09:00
danny-southworth,Danny SOUTHWORTH,urc|national,yes,height_cm|weight_kg,urc:186|national:188,urc:121|national:115,"urc:['England', 'Wales']|national:['England', 'Wales']",urc:None|national:None,188,115,national,2026-07-24T00:08:28+09:00
darcy-graham,Darcy GRAHAM,urc|national,yes,height_cm|weight_kg,urc:181|national:175,urc:83|national:90,urc:['Scotland']|national:['Scotland'],urc:None|national:None,175,90,national,2026-07-23T23:49:26+09:00
dave-cherry,Dave CHERRY,top14|national,yes,height_cm,top14:182|national:179,top14:103|national:103,top14:['Scotland']|national:['Scotland'],top14:None|national:None,182,103,top14,2026-07-25T23:02:56+09:00
david-odiase,David ODIASE,urc|national,yes,height_cm|weight_kg,urc:192|national:185,urc:115|national:118,urc:['Italy']|national:['Italy'],urc:None|national:None,185,118,national,2026-07-24T00:01:42+09:00
davit-lagvilava,Davit LAGVILAVA,top14|national,yes,height_cm,top14:199|national:203,top14:None|national:None,top14:[]|national:[],top14:None|national:None,199,,top14,2026-07-25T22:47:03+09:00
davit-niniashvili,Davit NINIASHVILI,top14|national,yes,height_cm|weight_kg,top14:187|national:186,top14:89|national:86,top14:[]|national:[],top14:None|national:None,187,89,top14,2026-07-25T22:30:01+09:00
declan-meredith,Declan MEREDITH,super-rugby|national,yes,height_cm,super-rugby:185|national:183,super-rugby:85|national:85,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,185,85,super-rugby,2026-07-25T23:48:16+09:00
demba-bamba,Demba BAMBA,top14|national,yes,height_cm|weight_kg,top14:183|national:182,top14:130|national:128,top14:['France']|national:['France'],top14:None|national:None,183,130,top14,2026-07-25T22:50:19+09:00
dewald-kotze,Dewald KOTZE,mlr|national,yes,height_cm|weight_kg,mlr:179|national:188,mlr:113|national:107,"mlr:['South Africa', 'Canada']|national:['South Africa', 'Canada']",mlr:None|national:None,188,107,national,2026-07-23T23:50:03+09:00
diego-escobar,Diego ESCOBAR,top14|national,yes,height_cm|weight_kg,top14:177|national:178,top14:108|national:100,top14:[]|national:[],top14:None|national:None,177,108,top14,2026-07-25T22:50:44+09:00
dillon-lewis,Dillon LEWIS,urc|national,yes,height_cm|weight_kg,urc:190|national:181,urc:120|national:122,urc:['Wales']|national:['Wales'],urc:None|national:None,181,122,national,2026-07-24T00:08:31+09:00
dorian-aldegheri,Dorian ALDEGHERI,top14|national,yes,height_cm,top14:180|national:185,top14:119|national:119,top14:['France']|national:['France'],top14:None|national:None,180,119,top14,2026-07-25T22:57:37+09:00
du-plessis-kirifi,Du'Plessis KIRIFI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:180|national:177,super-rugby:101|national:100,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,180,101,super-rugby,2026-07-25T23:38:14+09:00
duhan-van-der-merwe,Duhan VAN DER MERWE,urc|national,yes,weight_kg,urc:190|national:190,urc:102|national:108,"urc:['South Africa', 'Scotland']|national:['South Africa', 'Scotland']",urc:None|national:None,190,108,national,2026-07-23T23:49:29+09:00
duncan-paia-aua,Duncan PAIA'AUA,top14|national,yes,height_cm,top14:182|national:184,top14:90|national:90,"top14:['New Zealand', 'Samoa']|national:['New Zealand', 'Samoa']",top14:None|national:None,182,90,top14,2026-07-25T22:48:16+09:00
dylan-pietsch,Dylan PIETSCH,super-rugby|national,yes,height_cm|weight_kg,super-rugby:182|national:189,super-rugby:97|national:102,super-rugby:[]|national:[],super-rugby:None|national:None,182,97,super-rugby,2026-07-25T23:55:46+09:00
dylan-richardson,Dylan RICHARDSON,urc|national,yes,height_cm,urc:183|national:189,urc:114|national:114,"urc:['South Africa', 'Scotland']|national:['South Africa', 'Scotland']",urc:None|national:None,189,114,national,2026-07-23T23:48:16+09:00
eben-etzebeth,Eben ETZEBETH,urc|national,yes,height_cm,urc:208|national:198,urc:130|national:130,urc:['South Africa']|national:['South Africa'],urc:None|national:None,198,130,national,2026-07-24T00:06:13+09:00
edwin-edogbo,Edwin EDOGBO,urc|national,yes,height_cm,urc:194|national:201,urc:128|national:128,urc:['Ireland']|national:['Ireland'],urc:None|national:None,201,128,national,2026-07-23T23:59:03+09:00
efrain-elias,Efraín ELÍAS,top14|national,yes,height_cm|weight_kg,top14:205|national:197,top14:123|national:114,top14:[]|national:[],top14:None|national:None,205,123,top14,2026-07-25T22:58:12+09:00
elia-canakaivata,Elia CANAKAIVATA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:185,super-rugby:103|national:99,super-rugby:[]|national:[],super-rugby:None|national:None,184,103,super-rugby,2026-07-25T23:59:07+09:00
elliot-millar-mills,Elliot MILLAR-MILLS,premiership|national,yes,height_cm|weight_kg,premiership:175|national:177,premiership:125|national:116,"premiership:['England', 'Scotland']|national:['England', 'Scotland']",premiership:None|national:None,177,116,national,2026-07-23T23:47:08+09:00
elliott-daly,Elliot DALY,premiership|national,yes,height_cm|weight_kg,premiership:190|national:188,premiership:99|national:103,premiership:['England']|national:['England'],premiership:None|national:None,188,103,national,2026-07-24T00:15:06+09:00
ellis-genge,Ellis GENGE,premiership|national,yes,height_cm|weight_kg,premiership:185|national:181,premiership:122|national:120,premiership:['England']|national:['England'],premiership:None|national:None,181,120,national,2026-07-24T00:13:40+09:00
elrigh-louw,Elrigh LOUW,urc|national,yes,height_cm|weight_kg,urc:196|national:198,urc:115|national:112,urc:['South Africa']|national:['South Africa'],urc:None|national:None,198,112,national,2026-07-24T00:06:43+09:00
embrose-papier,Embrose PAPIER,urc|national,yes,height_cm|weight_kg,urc:169|national:166,urc:78|national:75,urc:['South Africa']|national:['South Africa'],urc:None|national:None,166,75,national,2026-07-24T00:07:12+09:00
emilien-gailleton,Émilien GAILLETON,top14|national,yes,height_cm|weight_kg,top14:187|national:180,top14:88|national:89,top14:['France']|national:['France'],top14:None|national:None,187,88,top14,2026-07-25T22:44:26+09:00
emmanuel-meafou,Emmanuel MEAFOU,top14|national,yes,height_cm|weight_kg,top14:207|national:205,top14:141|national:143,"top14:['Australia', 'France']|national:['Australia', 'France']",top14:None|national:None,207,141,top14,2026-07-25T22:58:15+09:00
ereatara-enari,Ere ENARI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:173|national:182,super-rugby:83|national:81,super-rugby:[]|national:[],super-rugby:None|national:None,173,83,super-rugby,2026-07-25T23:38:25+09:00
erich-storti,Erich STORTI,mlr|national,yes,height_cm|weight_kg,mlr:184|national:178,mlr:86|national:93,mlr:['United-States']|national:['United-States'],mlr:None|national:None,178,93,national,2026-07-24T00:36:25+09:00
eroni-mawi,Eroni MAWI,premiership|national,yes,height_cm,premiership:184|national:185,premiership:133|national:133,premiership:['Fiji']|national:['Fiji'],premiership:None|national:None,185,133,national,2026-07-24T00:11:18+09:00
ethan-de-groot,Ethan DE GROOT,super-rugby|national,yes,height_cm|weight_kg,super-rugby:191|national:185,super-rugby:126|national:124,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,191,126,super-rugby,2026-07-25T23:56:15+09:00
ethan-mcveigh,Ethan MCVEIGH,mlr|national,yes,height_cm|weight_kg,mlr:175|national:171,mlr:86|national:87,mlr:[]|national:[],mlr:None|national:None,171,87,national,2026-07-24T00:36:07+09:00
ewan-ashman,Ewan ASHMAN,urc|national,yes,height_cm|weight_kg,urc:191|national:184,urc:112|national:115,"urc:['Canada', 'Scotland']|national:['Canada', 'Scotland']",urc:None|national:None,184,115,national,2026-07-23T23:47:33+09:00
ezekiel-lindenmuth,Ezekiel LINDENMUTH,mlr|national,yes,height_cm|weight_kg,mlr:191|national:192,mlr:126|national:128,mlr:[]|national:[],mlr:None|national:None,192,128,national,2026-07-24T00:34:48+09:00
fabien-brau-boirie,Fabien BRAU-BOIRIE,top14|national,yes,height_cm|weight_kg,top14:186|national:187,top14:103|national:100,top14:['France']|national:['France'],top14:None|national:None,186,103,top14,2026-07-25T22:44:30+09:00
faletoi-peni,Faletoi PENI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:177|national:169,super-rugby:111|national:104,super-rugby:[]|national:[],super-rugby:None|national:None,177,111,super-rugby,2026-07-26T00:02:05+09:00
federico-ruzza,Federico RUZZA,urc|national,yes,height_cm|weight_kg,urc:202|national:195,urc:106|national:111,urc:['Italy']|national:['Italy'],urc:None|national:None,195,111,national,2026-07-24T00:01:30+09:00
fehi-fineanganofo,Fehi FINEANGANOFO,super-rugby|national,yes,height_cm,super-rugby:191|national:185,super-rugby:108|national:108,super-rugby:[]|national:[],super-rugby:None|national:None,191,108,super-rugby,2026-07-25T23:38:48+09:00
filipo-daugunu,Filipo DAUGUNU,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:177,super-rugby:103|national:96,"super-rugby:['Fiji', 'Australia']|national:['Fiji', 'Australia']",super-rugby:None|national:None,184,103,super-rugby,2026-07-25T23:50:46+09:00
fin-baxter,Fin BAXTER,premiership|national,yes,height_cm|weight_kg,premiership:185|national:184,premiership:118|national:117,premiership:['England']|national:['England'],premiership:None|national:None,184,117,national,2026-07-24T00:13:46+09:00
fin-smith,Fin SMITH,premiership|national,yes,height_cm,premiership:174|national:179,premiership:89|national:89,premiership:['England']|national:['England'],premiership:None|national:None,179,89,national,2026-07-24T00:14:53+09:00
finlay-bealham,Finlay BEALHAM,urc|national,yes,height_cm|weight_kg,urc:190|national:192,urc:125|national:128,"urc:['Australia', 'Ireland']|national:['Australia', 'Ireland']",urc:None|national:None,192,128,national,2026-07-23T23:58:22+09:00
finlay-christie,Finlay CHRISTIE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:182|national:176,super-rugby:87|national:78,"super-rugby:['Scotland', 'New Zealand']|national:['Scotland', 'New Zealand']",super-rugby:None|national:None,182,87,super-rugby,2026-07-25T23:43:12+09:00
finn-russell,Finn RUSSELL,premiership|national,yes,height_cm|weight_kg,premiership:180|national:184,premiership:92|national:96,premiership:['Scotland']|national:['Scotland'],premiership:None|national:None,184,96,national,2026-07-23T23:49:02+09:00
fletcher-newell,Fletcher NEWELL,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:189,super-rugby:121|national:115,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,184,121,super-rugby,2026-07-25T23:44:34+09:00
florian-verhaeghe,Florian VERHAEGHE,top14|national,yes,weight_kg,top14:208|national:208,top14:115|national:113,top14:['France']|national:['France'],top14:None|national:None,208,115,top14,2026-07-25T22:35:42+09:00
franco-molina,Franco MOLINA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:202|national:194,super-rugby:119|national:125,super-rugby:[]|national:[],super-rugby:None|national:None,202,119,super-rugby,2026-07-25T23:54:44+09:00
francois-cros,François CROS,top14|national,yes,height_cm|weight_kg,top14:195|national:188,top14:113|national:115,top14:['France']|national:['France'],top14:None|national:None,195,113,top14,2026-07-25T22:58:34+09:00
frank-lomani,Frank LOMANI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:180,super-rugby:85|national:84,super-rugby:['Fiji']|national:['Fiji'],super-rugby:None|national:None,184,85,super-rugby,2026-07-25T23:59:26+09:00
fraser-dingwall,Fraser DINGWALL,premiership|national,yes,height_cm,premiership:185|national:184,premiership:95|national:95,premiership:['England']|national:['England'],premiership:None|national:None,184,95,national,2026-07-24T00:15:09+09:00
fraser-mcreight,Fraser MCREIGHT,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:182,super-rugby:107|national:106,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,188,107,super-rugby,2026-07-25T23:49:51+09:00
freddie-steward,Freddie STEWARD,premiership|national,yes,height_cm|weight_kg,premiership:192|national:191,premiership:101|national:104,premiership:['England']|national:['England'],premiership:None|national:None,191,104,national,2026-07-24T00:15:37+09:00
freddie-thomas,Freddie THOMAS,premiership|national,yes,weight_kg,premiership:194|national:194,premiership:119|national:115,"premiership:['England', 'Wales']|national:['England', 'Wales']",premiership:None|national:None,194,115,national,2026-07-24T00:09:14+09:00
freddy-douglas,Freddy DOUGLAS,urc|national,yes,height_cm,urc:180|national:190,urc:98|national:98,urc:['Scotland']|national:['Scotland'],urc:None|national:None,190,98,national,2026-07-23T23:48:19+09:00
gael-drean,Gaël DRÉAN,top14|national,yes,height_cm|weight_kg,top14:181|national:189,top14:86|national:88,top14:[]|national:[],top14:None|national:None,181,86,top14,2026-07-25T22:55:44+09:00
gael-fickou,Gaël FICKOU,top14|national,yes,height_cm|weight_kg,top14:187|national:193,top14:105|national:102,top14:['France']|national:['France'],top14:None|national:None,187,105,top14,2026-07-25T22:51:57+09:00
gareth-thomas-1993,Gareth THOMAS,urc|national,yes,weight_kg,urc:186|national:186,urc:119|national:122,urc:['Wales']|national:['Wales'],urc:None|national:None,186,122,national,2026-07-24T00:08:34+09:00
garry-ringrose,Garry RINGROSE,urc|national,yes,weight_kg,urc:189|national:189,urc:92|national:89,urc:['Ireland']|national:['Ireland'],urc:None|national:None,189,89,national,2026-07-24T00:00:09+09:00
gela-aprasidze,Gela APRASIDZE,top14|national,yes,height_cm|weight_kg,top14:180|national:175,top14:72|national:76,top14:['Georgia']|national:['Georgia'],top14:None|national:None,180,72,top14,2026-07-25T22:47:48+09:00
george-bell,George BELL,super-rugby|national,yes,height_cm|weight_kg,super-rugby:181|national:186,super-rugby:107|national:106,super-rugby:[]|national:[],super-rugby:None|national:None,181,107,super-rugby,2026-07-25T23:44:56+09:00
george-bower,George BOWER,super-rugby|national,yes,height_cm|weight_kg,super-rugby:189|national:183,super-rugby:116|national:117,super-rugby:[]|national:[],super-rugby:None|national:None,189,116,super-rugby,2026-07-25T23:44:37+09:00
george-ford,George FORD,premiership|national,yes,height_cm|weight_kg,premiership:178|national:176,premiership:84|national:81,premiership:['England']|national:['England'],premiership:None|national:None,176,81,national,2026-07-24T00:14:56+09:00
george-furbank,George FURBANK,premiership|national,yes,height_cm|weight_kg,premiership:187|national:179,premiership:95|national:90,premiership:['England']|national:['England'],premiership:None|national:None,179,90,national,2026-07-24T00:15:40+09:00
george-horne,George HORNE,urc|national,yes,height_cm|weight_kg,urc:177|national:174,urc:86|national:79,urc:['Scotland']|national:['Scotland'],urc:None|national:None,174,79,national,2026-07-23T23:48:50+09:00
george-martin,George MARTIN,premiership|national,yes,height_cm|weight_kg,premiership:199|national:202,premiership:127|national:130,premiership:['England']|national:['England'],premiership:None|national:None,202,130,national,2026-07-24T00:14:29+09:00
george-turner,George TURNER,premiership|national,yes,height_cm,premiership:185|national:184,premiership:107|national:107,premiership:['Scotland']|national:['Scotland'],premiership:None|national:None,184,107,national,2026-07-23T23:47:36+09:00
georges-henri-colombe,Georges-Henri COLOMBE,top14|national,yes,height_cm|weight_kg,top14:188|national:193,top14:147|national:141,top14:['France']|national:['France'],top14:None|national:None,188,147,top14,2026-07-25T22:57:40+09:00
geronimo-prisciantelli,Geronimo PRISCIANTELLI,top14|national,yes,height_cm|weight_kg,top14:181|national:185,top14:92|national:82,top14:[]|national:[],top14:None|national:None,181,92,top14,2026-07-25T22:51:48+09:00
giacomo-nicotera,Giacomo NICOTERA,top14|national,yes,height_cm|weight_kg,top14:186|national:188,top14:109|national:104,top14:['Italy']|national:['Italy'],top14:None|national:None,186,109,top14,2026-07-25T22:39:39+09:00
gianmarco-lucchesi,Gianmarco LUCCHESI,top14|national,yes,height_cm|weight_kg,top14:183|national:189,top14:110|national:109,top14:['Italy']|national:['Italy'],top14:None|national:None,183,110,top14,2026-07-25T22:53:54+09:00
giorgi-akhaladze,Giorgi AKHALADZE,top14|national,yes,height_cm|weight_kg,top14:186|national:183,top14:133|national:126,top14:[]|national:[],top14:None|national:None,186,133,top14,2026-07-25T22:23:51+09:00
giorgi-javakhia,Giorgi JAVAKHIA,top14|national,yes,height_cm|weight_kg,top14:196|national:189,top14:128|national:119,top14:['Georgia']|national:['Georgia'],top14:None|national:None,196,128,top14,2026-07-25T22:54:18+09:00
giorgi-melikidze,Giorgi MELIKIDZE,top14|national,yes,weight_kg,top14:175|national:175,top14:117|national:113,top14:['Georgia']|national:['Georgia'],top14:None|national:None,175,117,top14,2026-07-25T22:39:09+09:00
giorgi-tetrashvili,Giorgi TETRASHVILI,top14|national,yes,height_cm|weight_kg,top14:173|national:176,top14:113|national:110,top14:['Georgia']|national:['Georgia'],top14:None|national:None,173,113,top14,2026-07-25T22:46:29+09:00
giosue-zilocchi,Giosué ZILOCCHI,urc|national,yes,height_cm|weight_kg,urc:186|national:188,urc:114|national:115,urc:['Italy']|national:['Italy'],urc:None|national:None,188,115,national,2026-07-24T00:00:51+09:00
gonzalo-garcia-1999,Gonzalo GARCIA,urc|national,yes,height_cm|weight_kg,urc:169|national:170,urc:79|national:84,urc:['Argentina']|national:['Argentina'],urc:None|national:None,170,84,national,2026-07-24T00:16:50+09:00
grant-gilchrist,Grant GILCHRIST,urc|national,yes,height_cm|weight_kg,urc:193|national:195,urc:120|national:124,urc:['Scotland']|national:['Scotland'],urc:None|national:None,195,124,national,2026-07-23T23:47:54+09:00
greg-alldritt,Greg ALLDRITT,top14|national,yes,weight_kg,top14:191|national:191,top14:110|national:117,top14:['France']|national:['France'],top14:None|national:None,191,110,top14,2026-07-25T22:28:46+09:00
gregor-brown,Gregor BROWN,urc|national,yes,height_cm|weight_kg,urc:198|national:196,urc:108|national:112,urc:['Scotland']|national:['Scotland'],urc:None|national:None,196,112,national,2026-07-23T23:47:56+09:00
guido-petti,Guido PETTI,premiership|national,yes,height_cm|weight_kg,premiership:189|national:195,premiership:111|national:114,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,195,114,national,2026-07-24T00:16:21+09:00
guido-reyes-rendon,Guido REYES,top14|national,yes,height_cm|weight_kg,top14:183|national:190,top14:130|national:133,top14:[]|national:[],top14:None|national:None,183,130,top14,2026-07-25T22:45:13+09:00
guillaume-cramont,Guillaume CRAMONT,top14|national,yes,height_cm|weight_kg,top14:185|national:180,top14:102|national:104,top14:['France']|national:['France'],top14:None|national:None,185,102,top14,2026-07-25T22:57:56+09:00
gus-mccarthy,Gus MCCARTHY,urc|national,yes,height_cm|weight_kg,urc:175|national:183,urc:111|national:104,urc:['Ireland']|national:['Ireland'],urc:None|national:None,183,104,national,2026-07-23T23:58:48+09:00
guy-pepper,Guy PEPPER,premiership|national,yes,height_cm|weight_kg,premiership:185|national:195,premiership:100|national:109,premiership:['England']|national:['England'],premiership:None|national:None,195,109,national,2026-07-24T00:14:32+09:00
haereiti-hetet,Haereiti HETET,super-rugby|national,yes,height_cm|weight_kg,super-rugby:180|national:184,super-rugby:131|national:126,super-rugby:[]|national:[],super-rugby:None|national:None,180,131,super-rugby,2026-07-25T23:58:29+09:00
hamish-stewart,Hamish STEWART,super-rugby|national,yes,height_cm,super-rugby:182|national:181,super-rugby:85|national:85,super-rugby:[]|national:[],super-rugby:None|national:None,182,85,super-rugby,2026-07-25T23:55:38+09:00
handre-pollard,Handré POLLARD,urc|national,yes,weight_kg,urc:192|national:192,urc:94|national:100,urc:['South Africa']|national:['South Africa'],urc:None|national:None,192,100,national,2026-07-24T00:07:28+09:00
harison-mataele,Harison MATAELE,mlr|national,yes,height_cm|weight_kg,mlr:200|national:208,mlr:111|national:118,mlr:['Tonga']|national:['Tonga'],mlr:None|national:None,208,118,national,2026-07-24T00:37:24+09:00
harry-byrne,Harry BYRNE,urc|national,yes,height_cm|weight_kg,urc:188|national:192,urc:98|national:93,urc:['Ireland']|national:['Ireland'],urc:None|national:None,192,93,national,2026-07-23T23:59:57+09:00
harry-potter,Harry POTTER,super-rugby|national,yes,height_cm,super-rugby:184|national:189,super-rugby:100|national:100,super-rugby:[]|national:[],super-rugby:None|national:None,184,100,super-rugby,2026-07-25T23:53:04+09:00
harry-wilson,Harry WILSON,super-rugby|national,yes,height_cm|weight_kg,super-rugby:197|national:196,super-rugby:119|national:114,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,197,119,super-rugby,2026-07-25T23:49:54+09:00
henry-arundell,Henry ARUNDELL,premiership|national,yes,height_cm|weight_kg,premiership:181|national:188,premiership:95|national:93,premiership:['England']|national:['England'],premiership:None|national:None,188,93,national,2026-07-24T00:15:43+09:00
henry-pollock,Henry POLLOCK,premiership|national,yes,height_cm|weight_kg,premiership:188|national:192,premiership:100|national:102,premiership:['England']|national:['England'],premiership:None|national:None,192,102,national,2026-07-24T00:14:35+09:00
henry-slade,Henry SLADE,premiership|national,yes,height_cm|weight_kg,premiership:194|national:191,premiership:98|national:102,premiership:['England']|national:['England'],premiership:None|national:None,191,102,national,2026-07-24T00:15:12+09:00
herschel-jantjies,Herschel JANTJIES,top14|national,yes,height_cm|weight_kg,top14:168|national:164,top14:80|national:75,top14:['South Africa']|national:['South Africa'],top14:None|national:None,168,80,top14,2026-07-25T22:13:25+09:00
hugo-auradou,Hugo AURADOU,top14|national,yes,height_cm|weight_kg,top14:205|national:198,top14:101|national:100,top14:['France']|national:['France'],top14:None|national:None,205,101,top14,2026-07-25T22:43:22+09:00
hugo-gonzalez,Hugo GONZÁLEZ,top14|national,yes,weight_kg,top14:179|national:179,top14:122|national:116,top14:['Spain']|national:['Spain'],top14:None|national:None,179,122,top14,2026-07-25T22:11:58+09:00
hugo-keenan,Hugo KEENAN,urc|national,yes,height_cm|weight_kg,urc:182|national:188,urc:94|national:87,urc:['Ireland']|national:['Ireland'],urc:None|national:None,188,87,national,2026-07-24T00:00:36+09:00
hunter-paisami,Hunter PAISAMI,super-rugby|national,yes,weight_kg,super-rugby:167|national:167,super-rugby:96|national:93,"super-rugby:['Samoa', 'Australia']|national:['Samoa', 'Australia']",super-rugby:None|national:None,167,96,super-rugby,2026-07-25T23:50:38+09:00
huw-jones,Huw JONES,urc|national,yes,height_cm|weight_kg,urc:188|national:191,urc:98|national:107,urc:['Scotland']|national:['Scotland'],urc:None|national:None,191,107,national,2026-07-23T23:49:11+09:00
iain-henderson,Iain HENDERSON,urc|national,yes,height_cm|weight_kg,urc:201|national:203,urc:116|national:118,urc:['Ireland']|national:['Ireland'],urc:None|national:None,203,118,national,2026-07-23T23:59:06+09:00
iakopo-petelo-mapu,Iakopo MAPU,top14|national,yes,height_cm|weight_kg,top14:185|national:180,top14:109|national:101,top14:['Samoa']|national:['Samoa'],top14:None|national:None,185,109,top14,2026-07-25T22:40:07+09:00
ignacio-brex,Ignacio BREX,top14|national,yes,height_cm|weight_kg,top14:184|national:193,top14:102|national:100,"top14:['Argentina', 'Italy']|national:['Argentina', 'Italy']",top14:None|national:None,184,102,top14,2026-07-25T22:55:24+09:00
ignacio-mendy,Ignacio MENDY,urc|national,yes,height_cm|weight_kg,urc:188|national:187,urc:93|national:94,urc:['Argentina']|national:['Argentina'],urc:None|national:None,187,94,national,2026-07-24T00:17:21+09:00
ignacio-peculo,Ignacio PÉCULO,mlr|national,yes,weight_kg,mlr:185|national:185,mlr:129|national:136,mlr:[]|national:[],mlr:None|national:None,185,136,national,2026-07-24T00:30:53+09:00
