slug,name_en,leagues,height_weight_mismatch,mismatched_fields,height_cm_values,weight_kg_values,nationality_values,birthdate_values,resolved_height_cm,resolved_weight_kg,freshest_league,freshest_scraped_at
vuate-karawalevu,Vuate KARAWALEVU,top14|national,yes,height_cm|weight_kg,top14:194|national:192,top14:102|national:99,top14:[]|national:[],top14:None|national:None,194,102,top14,2026-07-25T22:21:54+09:00
wallace-sititi,Wallace SITITI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:180,super-rugby:111|national:113,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,188,111,super-rugby,2026-07-25T23:40:40+09:00
warner-dearns,Warner DEARNS,super-rugby|national,yes,height_cm|weight_kg|birthdate,super-rugby:207|national:206,super-rugby:128|national:120,"super-rugby:['New Zealand', 'Japan']|national:['New Zealand', 'Japan']",super-rugby:None|national:2002-04-11,207,128,super-rugby,2026-07-25T23:37:57+09:00
wilco-louw,Wilco LOUW,urc|national,yes,weight_kg,urc:181|national:181,urc:147|national:149,urc:['South Africa']|national:['South Africa'],urc:None|national:None,181,149,national,2026-07-24T00:05:42+09:00
will-hurd,Will HURD,premiership|national,yes,height_cm,premiership:187|national:189,premiership:123|national:123,"premiership:['England', 'Scotland']|national:['England', 'Scotland']",premiership:None|national:None,189,123,national,2026-07-23T23:47:23+09:00
will-jordan,Will JORDAN,super-rugby|national,yes,height_cm|weight_kg,super-rugby:183|national:193,super-rugby:91|national:95,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,183,91,super-rugby,2026-07-25T23:46:42+09:00
will-stuart,Will STUART,premiership|national,yes,height_cm|weight_kg,premiership:184|national:186,premiership:137|national:135,premiership:['England']|national:['England'],premiership:None|national:None,186,135,national,2026-07-24T00:13:58+09:00
willy-havili,Willy HAVILI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:185|national:190,super-rugby:88|national:81,super-rugby:[]|national:[],super-rugby:None|national:None,185,88,super-rugby,2026-07-26T00:02:37+09:00
xavier-numia,Xavier NUMIA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:189|national:185,super-rugby:113|national:115,super-rugby:[]|national:[],super-rugby:None|national:None,189,113,super-rugby,2026-07-25T23:37:32+09:00
yoram-moefana,Yoram MOEFANA,top14|national,yes,height_cm|weight_kg,top14:185|national:182,top14:99|national:91,top14:['France']|national:['France'],top14:None|national:None,185,99,top14,2026-07-25T22:17:46+09:00
zander-fagerson,Zander FAGERSON,urc|national,yes,height_cm|weight_kg,urc:190|national:189,urc:125|national:127,urc:['Scotland']|national:['Scotland'],urc:None|national:None,189,127,national,2026-07-23T23:47:27+09:00
zane-nonggorr,Zane NONGGORR,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:186,super-rugby:125|national:133,super-rugby:[]|national:[],super-rugby:None|national:None,184,125,super-rugby,2026-07-25T23:49:29+09:00
zuriel-togiatama,Zuriel TOGIATAMA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:183|national:179,super-rugby:111|national:107,super-rugby:[]|national:[],super-rugby:None|national:None,183,111,super-rugby,2026-07-25T23:58:53+09:00
