年度,RawData,Source_URL
2005年度,LO | 大窪 光 | おおくぼ ひかる | 3 | 大阪 | 近大付属 | 189 | 96,https://www.rugby-japan.jp/news/6389
2005年度,LO | 宮川 拓也 | みやがわ たくや | 3 | 山梨 | 桂 | 184 | 85,https://www.rugby-japan.jp/news/6389
2005年度,FL/NO8 | 浦田 太陽 | うらた ひかる | 3 | 大阪 | 大阪工大 | 180 | 85,https://www.rugby-japan.jp/news/6389
2005年度,FL/NO8 | 高島 佑介 | たかしま ゆうすけ | 3 | 大阪 | 啓光学園 | 177 | 81,https://www.rugby-japan.jp/news/6389
2005年度,FL/NO8 | 村下 雅章 | むらした まさあき | 3 | 京都 | 伏見工 | 185 | 86,https://www.rugby-japan.jp/news/6389
2005年度,FL/NO8 | 清水 直志 | しみず なおし | 3 | 東京 | 國學院久我山 | 180 | 84,https://www.rugby-japan.jp/news/6389
2005年度,FL/NO8 | 森 慶太 | もり けいた | 3 | 奈良 | 天理 | 181 | 88,https://www.rugby-japan.jp/news/6389
2005年度,SH | 伊藤 賢 | いとう けん | 3 | 京都 | 伏見工 | 169 | 58,https://www.rugby-japan.jp/news/6389
2005年度,SH | 田村 弘毅 | たむら こうき | 3 | 茨城 | 茗渓学園 | 165 | 66,https://www.rugby-japan.jp/news/6389
2005年度,SO | 文字 隆也 | もんじ たかや | 3 | 京都 | 伏見工 | 173 | 74,https://www.rugby-japan.jp/news/6389
2005年度,SO | 村田 賢史 | むらた けんじ | 3 | 大阪 | 啓光学園 | 173 | 72,https://www.rugby-japan.jp/news/6389
2005年度,CTB | 南 隆彰 | みなみ たかあき | 3 | 京都 | 伏見工 | 176 | 77,https://www.rugby-japan.jp/news/6389
2005年度,CTB | 安部 亮佑 | あべ りょうすけ | 3 | 大阪 | 東海大仰星 | 176 | 82,https://www.rugby-japan.jp/news/6389
2005年度,CTB | 鳥飼 賢 | とりがい けん | 3 | 大阪 | 啓光学園 | 178 | 73,https://www.rugby-japan.jp/news/6389
