日本代表歴代キャップ保持者一覧,,
No.,氏名,CAP
689,辻　雄康,1
690,下川　甲嗣,23
691,中尾　隼太,1
692,アマト・ファカタヴァ,18
693,ジョネ・ナイカブラ,17
694,福井　翔大,3
695,長田　智希,26
696,サウマキ・アマナキ,5
697,福田　健太,8
698,茂原　隆由,6
699,原田　衛,12
700,ティエナン・コストリー,11
701,サミソニ・トゥア,3
702,矢崎　由高,9
703,為房　慶次朗,20
704,藤原　忍,19
705,山本　凱,1
706,岡部　崇人,8
707,小山　大輝,7
708,桑野　詠真,2
709,マロ・ツイタマ,9
710,ニコラス・マクカラン,7
711,アイザイア・マプスア,5
712,エピネリ・ウルイヴァイティ,11
713,松岡　賢太,4
714,濱野　隼大,2
715,オペティ・ヘル,2
716,松永　拓郎,5
717,李　承爀 ,1
718,紙森　陽太,2
719,石田　吉平,9
720,中楠　一期,3
721,ハラトア・ヴァイレア,2
722,ワイサケ・ララトゥブア,5
723,北村　瞬太朗,1
724,江良　颯,6
725,木村　星南,3
726,サム・グリーン,6
727,チャーリー・ローレンス,9
728,小林　賢太,9
729,佐藤　健次,9
730,廣瀬　雄也,5
731,奥井　章仁,2
732,木田　晴斗,2
733,祝原　涼介,5
734,池田　悠希,2
735,タイラー・ポール,4
736,平生　翔大,2
737,小村　真也,3
738,ハリー・ホッキングス,2
739,古畑　翔,1
740,植田　和磨,2
