年度,RawData,Source_URL
2007年度,中島 拓也Takuya NAKAJIMA | ヤマハ発動機ジュビロYAMAHA Motor Jubilo | 19 | 熊谷工業高校 | 175 | 80 | 88.10.09 | ○,https://www.rugby-japan.jp/news/5270
2007年度,イーリー・ニコラスEaley NICHILAS | 拓殖大学Takushoku Univ. | 1年 | セントビーズ高校 | 181 | 95 | 88.10.14 | ○,https://www.rugby-japan.jp/news/5270
2007年度,ハベア・アイセア・マタアリMataaliAisea Havea | 日本航空第二高校Japan Aviation Academy | 3年 | トンガカレッジ | 175 | 97 | 89.01.31 | ○,https://www.rugby-japan.jp/news/5270
2007年度,仲宗根 健太Kenta NAKASONE | 桐蔭学園高校Toin Gakuen HS | 3年 | 桐蔭学園中学 | 180 | 88 | 89.04.05 | ○,https://www.rugby-japan.jp/news/5270
2007年度,立川 理道Harumichi TATEKAWA | 天理高校Tenri HS | 3年 | 天理中学 | 182 | 88 | 89.12.02 | ○,https://www.rugby-japan.jp/news/5270
2007年度,WTB | 大島 佐利Satoshi OSHIMA | 早稲田大学Waseda Univ. | 2年 | 國學院大學栃木高校 | 180 | 88 | 88.01.01 | ×,https://www.rugby-japan.jp/news/5270
2007年度,甲地 直樹Naoki KACCHI | 帝京大学Teikyo Univ. | 1年 | 三沢商業高校 | 180 | 88 | 88.07.07 | ×,https://www.rugby-japan.jp/news/5270
2007年度,大久保 教全Takamasa OKUBO | 同志社大学Doshisha Univ. | 1年 | 深谷高校 | 173 | 72 | 88.07.28 | ○,https://www.rugby-japan.jp/news/5270
2007年度,中濱 寛造Kanzo NAKAHAMA | 早稲田大学Waseda Univ. | 1年 | 大阪工大高校 | 176 | 81 | 88.09.28 | ○,https://www.rugby-japan.jp/news/5270
2007年度,長野 直樹Naoki CHONO | 関西学院大学Kwansei Gakuin Univ. | 1年 | 関西学院高校 | 174 | 78 | 89.01.09 | ○,https://www.rugby-japan.jp/news/5270
2007年度,ジェーミー・ブラッキーJamie BLACKIE | ゴールドスミスカレッジGoldsmiths Collelge | 19 | - | 183 | 90 | 88.05.08 | ○,https://www.rugby-japan.jp/news/5270
2007年度,FB | 飯田 貴也Takaya IIDA | 早稲田大学Waseda Univ. | 1年 | 早大本庄高校 | 182 | 83 | 88.10.25 | ○,https://www.rugby-japan.jp/news/5270
2007年度,竹下 祥平Shohei TAKESHITA | 東福岡高校Higashi Fukuoka HS | 3年 | 平尾中学 | 180 | 76 | 89.05.06 | ○,https://www.rugby-japan.jp/news/5270
