年度,RawData,Source_URL
2013年度,北川 賢吾Kengo KITAGAWA | 同志社大学 （2年）Doshisha Univ. | 東福岡高校Higashi Fukuoka HS | 178 | 109 | 1992/8/27 | -,https://www.rugby-japan.jp/news/2324
2013年度,平野 翔平Shohei HIRANO | 東海大学 （1年）Tokai Univ. | 東福岡高校Higashi Fukuoka HS | 178 | 120 | 1993/8/3 | -,https://www.rugby-japan.jp/news/2324
2013年度,坂手 淳史Atsushi SAKATE | 帝京大学 （1年）Teikyo Univ. | 京都成章高校Kyoto Seisho HS | 180 | 99 | 1993/6/21 | -,https://www.rugby-japan.jp/news/2324
2013年度,太田 春樹Haruki OTA | 近鉄ライナーズKINTETSU Liners | 同志社大学Doshisha Univ. | 176 | 97 | 1987/2/16 | -,https://www.rugby-japan.jp/news/2324
2013年度,柴田 和宏Kazuhiro SHIBATA | リコーブラックラムズRICOH BlackRams | 日本体育大学Nippon Taiiku Univ. | 186 | 108 | 1986/8/22 | -,https://www.rugby-japan.jp/news/2324
2013年度,山本 幸輝Koki YAMAMOTO | 近畿大学 （4年）Kinki Univ. | 八幡工業高校Hachiman Technical HS | 181 | 115 | 1990/10/29 | -,https://www.rugby-japan.jp/news/2324
2013年度,三上 匠Takumi MIKAMI | 東海大学 （4年)Tokai Univ. | 青森工業高校Aomori Technical HS | 192 | 105 | 1990/5/15 | -,https://www.rugby-japan.jp/news/2324
2013年度,姫野 和樹Kazuki HIMENO | 春日丘高校 （3年）Haruhigaoka HS | 御田中学校Mita Jr. HS | 187 | 100 | 1994/7/27 | -,https://www.rugby-japan.jp/news/2324
2013年度,北川 勇次Yuji KITAGAWA | パナソニック ワイルドナイツPANASONIC Wild Knights | 関東学院大学Kanto Gakuin Univ. | 195 | 108 | 1986/8/11 | 6,https://www.rugby-japan.jp/news/2324
2013年度,宇佐美 和彦Kazuhiko USAMI | 立命館大学 （3年）Ritsumeikan Univ. | 西条高校Saijo HS | 195 | 106 | 1992/3/17 | -,https://www.rugby-japan.jp/news/2324
2013年度,村田 毅Tsuyoshi MURATA | NECグリーンロケッツNEC Green Rockets | 慶應義塾大学Keio Univ. | 185 | 102 | 1988/12/15 | -,https://www.rugby-japan.jp/news/2324
2013年度,堀江 恭佑Kyosuke HORIE | 明治大学 （4年）Meiji Univ. | 東京高校Tokyo HS | 182 | 102 | 1990/7/11 | -,https://www.rugby-japan.jp/news/2324
2013年度,徳永 祥尭Yoshitaka TOKUNAGA | 関西学院大学 （2年）Kwansei Gakuin Univ. | 関西学院高校Kwansei Gakuin HS | 185 | 98 | 1992/4/10 | -,https://www.rugby-japan.jp/news/2324
2013年度,西内 勇人Hayato NISHIUCHI | 法政大学 （2年）Hosei Univ. | 東福岡高校Higashi Fukuoka HS | 180 | 90 | 1993/3/30 | -,https://www.rugby-japan.jp/news/2324
2013年度,佐々木 隆道Takamichi SASAKI | サントリーサンゴリアスSUNTORY Sungoriath | 早稲田大学Waseda Univ. | 184 | 97 | 1983/10/30 | 13,https://www.rugby-japan.jp/news/2324
2013年度,山本 浩輝Hiroki YAMAMOTO | 筑波大学 （2年）Tsukuba Univ. | 石見智翠館Iwami Chisuikan HS | 187 | 90 | 1992/11/17 | -,https://www.rugby-japan.jp/news/2324
2013年度,小川 高廣Takahiro OGAWA | 日本大学 （4年）Nihon Univ. | 東福岡高校Higashi Fukuoka HS | 172 | 72 | 1991/3/18 | -,https://www.rugby-japan.jp/news/2324
2013年度,重 一生Issei SHIGE | 常翔学園高校 （3年）Josho Gakuen HS | 青山台中学校Aoyamadai Jr. HS | 170 | 76 | 1994/12/5 | -,https://www.rugby-japan.jp/news/2324
2013年度,山沢 拓也Takuya YAMASAWA | 深谷高校 （3年）Fukaya HS | 熊谷東中学校Kumagaya Higashi Jr.HS | 178 | 82 | 1994/9/21 | -,https://www.rugby-japan.jp/news/2324
2013年度,森田 洋介Yosuke MORITA | NECグリーンロケッツNEC Green Rockets | 同志社大学Doshisha Univ. | 177 | 88 | 1989/1/5 | -,https://www.rugby-japan.jp/news/2324
