div,name,missing,file
pro,Alex KENDELLEN,"university,high_school,country",src/content/players/pro/alex-kendellen.md
pro,Alex Lozowski,"height,weight,university,high_school,country",src/content/players/pro/alex-lozowski.md
pro,Alex MANN,"university,high_school,country",src/content/players/pro/alex-mann.md
pro,Alex MASIBAKA,"university,high_school,country",src/content/players/pro/alex-masibaka.md
pro,Alex MITCHELL,"height,weight,birth_date,university,high_school,country",src/content/players/pro/alex-mitchell.md
pro,Alex MOON,"university,high_school,country",src/content/players/pro/alex-moon.md
pro,Alex NEWSOME,"university,high_school,country",src/content/players/pro/alex-newsome.md
pro,Alex RIDGWAY,"height,weight,birth_date,university,high_school,country",src/content/players/pro/alex-ridgway.md
pro,Alex SAMUEL,"university,high_school,country",src/content/players/pro/alex-samuel.md
pro,Alex SOROKA,"university,high_school,country",src/content/players/pro/alex-soroka.md
pro,Alexandre BECOGNEE,"university,high_school",src/content/players/pro/alexandre-becognee.md
pro,Alexandre FISCHER,"university,high_school,country",src/content/players/pro/alexandre-fischer.md
pro,Alexandre KADDOURI,"university,high_school",src/content/players/pro/alexandre-kaddouri.md
pro,Alexandre ROUMAT,"university,high_school,country",src/content/players/pro/alexandre-roumat.md
pro,Alexandre TCHAPTCHET,"university,high_school",src/content/players/pro/alexandre-tchaptchet.md
pro,Alexis BERNADET,"university,high_school",src/content/players/pro/alexis-bernadet.md
pro,Alfie BARBEARY,"height,weight,birth_date,university,high_school,country",src/content/players/pro/alfie-barbeary.md
pro,Alfie GRIFFIN,"height,weight,birth_date,age,university,high_school,country",src/content/players/pro/alfie-griffin.md
pro,Alfred PARISIEN,"university,high_school",src/content/players/pro/alfred-parisien.md
pro,Ali PRICE,"university,high_school",src/content/players/pro/ali-price.md
pro,Ali VERMAAK,"university,high_school,country",src/content/players/pro/alistair-vermaak.md
pro,Alivereti DUGUIVALU,"university,high_school",src/content/players/pro/alifereti-duguivalu.md
pro,Alivereti LOALOA,"university,high_school,country",src/content/players/pro/alivereti-loaloa.md
pro,Alivereti RAKA,"university,high_school,country",src/content/players/pro/alivereti-raka.md
pro,Allan ALAALATOA,"university,high_school,country",src/content/players/pro/allan-alaalatoa.md
pro,Allan CRAIG,"university,high_school,country",src/content/players/pro/allan-craig.md
