title,name_ja,name_en,position,height,weight,age,birth_date,birth_place_scraped,league,team,high_school,university,junior_high_school,rugby_school,caps,league_one_caps,scraped_url,category
シオネトゥイプロトゥ,シオネトゥイプロトゥ,---,---,197,120,---,1997-2-12,ニュージーランド,top-east-a,AZ-COM丸和MOMOTARO'S,,ウェズリーカレッジ,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/4616/,top-east
鎌田凌,鎌田凌,---,---,178,105,---,1999-10-17,福岡県福岡市,top-east-a,AZ-COM丸和MOMOTARO'S,福岡工業高校,福岡工業大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/fw/2982/,top-east
辻時羽,辻時羽,---,---,174,80,---,2002-11-7,大阪府大阪市,top-east-a,AZ-COM丸和MOMOTARO'S,常翔学園,東海大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5732/,top-east
清水麻貴,清水麻貴,---,---,170,77,---,2001-2-2,群馬県高崎市,top-east-a,AZ-COM丸和MOMOTARO'S,東京農業大学第二高等学校,東海大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4839/,top-east
高岸尚正,高岸尚正,---,---,168,72,---,2002-1-2,大阪府大阪市,top-east-a,AZ-COM丸和MOMOTARO'S,常翔学園高校,天理大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4558/,top-east
前田竜斗,前田竜斗,---,---,176,81,---,1999-1-31,愛知県瀬戸市,top-east-a,AZ-COM丸和MOMOTARO'S,中部大学春日丘高校,中京大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/1537/,top-east
フレッチャースミス,フレッチャースミス,---,---,180,86,---,1995-3-1,"Christchurch, New Zealand",top-east-a,AZ-COM丸和MOMOTARO'S,,Otago University,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5739/,top-east
武山達哉,武山達哉,---,---,161,73,---,2002-8-1,宮城県仙台市,top-east-a,AZ-COM丸和MOMOTARO'S,白鷗大学,青森北高等学校学校,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5298/,top-east
荒牧太陽,荒牧太陽,---,---,175,84,---,2000-9-22,福岡県北九州市,top-east-a,AZ-COM丸和MOMOTARO'S,福岡県立筑紫高等学校,関東学院大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4606/,top-east
臼杵大佑,臼杵大佑,---,---,171,80,---,2000-9-5,新潟県新発田市,top-east-a,AZ-COM丸和MOMOTARO'S,開志国際高等学校,天理大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/3724/,top-east
