nationality,place_of_birth,birth_date,scraped_url,player_name
,,,https://all.rugby/player/timothe-mezou,Timothé MÉZOU
,,,https://all.rugby/player/timeo-frier,Timéo FRIER
,,,https://all.rugby/player/tiaan-sparrow,Tiaan SPARROW
,,,https://all.rugby/player/tiaan-jacobs,Tiaan JACOBS
,,,https://all.rugby/player/tiaan-fourie,Tiaan FOURIE
,,,https://all.rugby/player/thomas-williams,Thomas WILLIAMS
,,,https://all.rugby/player/thomas-vincent,Thomas VINCENT
,,,https://all.rugby/player/thomas-staniforth,Tom STANIFORTH
,,,https://all.rugby/player/thomas-souverbie,Thomas SOUVERBIE
,,,https://all.rugby/player/thomas-moukoro,Thomas MOUKORO
,,,https://all.rugby/player/thomas-marceline,Thomas MARCELINE
,,,https://all.rugby/player/thomas-lavault,Thomas LAVAULT
,,,https://all.rugby/player/thomas-lainaut,Thomas LAINAULT
France,,,https://all.rugby/player/thomas-laclayat,Thomas LACLAYAT
,,,https://all.rugby/player/thomas-jolmes,Thomas JOLMÈS
,,,https://all.rugby/player/thomas-geffre,Thomas GEFFRÉ
"Argentina, Italy",,,https://all.rugby/player/thomas-gallo,Thomas GALLO
,,,https://all.rugby/player/thomas-dyer,Thomas DYER
,,,https://all.rugby/player/thomas-duchene,Thomas DUCHÊNE
,,,https://all.rugby/player/thomas-dominguez,Thomas DOMINGUEZ
,,,https://all.rugby/player/thomas-darmon,Thomas DARMON
,,,https://all.rugby/player/thomas-ceyte,Thomas CEYTE
,,,https://all.rugby/player/thomas-carol,Thomas CAROL
,,,https://all.rugby/player/thomas-berjon,Thomas BERJON
Australia,,,https://all.rugby/player/thomas-banks,Tom BANKS
,,,https://all.rugby/player/thomas-ahern,Tom AHERN
,,,https://all.rugby/player/thierry-paiva,Thierry PAÏVA
,,,https://all.rugby/player/thibaut-regard,Thibaut REGARD
,,,https://all.rugby/player/thibaut-motassi,Thibaut MOTASSI
,,,https://all.rugby/player/thibault-debaes,Thibault DEBAËS
France,,,https://all.rugby/player/thibault-daubagna,Thibault DAUBAGNA
,,,https://all.rugby/player/thibaud-lanen,Thibaud LANEN
,,,https://all.rugby/player/theo-william,Théo WILLIAM
,,,https://all.rugby/player/theo-millet,Théo MILLET
,,,https://all.rugby/player/theo-forner,Théo FORNER
,,,https://all.rugby/player/theo-chabouni,Théo CHABOUNI
,,,https://all.rugby/player/theo-cabango,Theo CABANGO
,,,https://all.rugby/player/theo-beziat,Théo BÉZIAT
France,,,https://all.rugby/player/theo-attissogbe,Théo ATTISSOGBE
,,,https://all.rugby/player/thaakir-abrahams,Thaakir ABRAHAMS
Tonga,,,https://all.rugby/player/tevita-tatafu,Tevita TATAFU
Fiji,,,https://all.rugby/player/tevita-ratuva,Tevita RATUVA
,,,https://all.rugby/player/temo-matiu,Temo MATIU
,,,https://all.rugby/player/temi-lasisi,Temi LASISI
Wales,,,https://all.rugby/player/teddy-williams,Teddy WILLIAMS
,,,https://all.rugby/player/teddy-durand,Teddy DURAND
France,,,https://all.rugby/player/teddy-baubigny,Teddy BAUBIGNY
New Zealand,,,https://all.rugby/player/tawera-kerr-barlow,Tawera KERR-BARLOW
"France, Fiji",,,https://all.rugby/player/tavite-veredamu,Tavite VEREDAMU
,,,https://all.rugby/player/tapiwa-mafura,Tapiwa MAFURA
Tonga,,,https://all.rugby/player/taniela-tupou,Taniela TUPOU
,,,https://all.rugby/player/tani-vili,Tani VILI
,,,https://all.rugby/player/tanginoa-halaifonua,Tanginoa HALAIFONUA
New Zealand,,,https://all.rugby/player/taine-plumtree,Taine PLUMTREE
Wales,,,https://all.rugby/player/taine-basham,Taine BASHAM
Ireland,,,https://all.rugby/player/tadhg-beirne,Tadhg BEIRNE
France,,,https://all.rugby/player/swan-rebbadj,Swan REBBADJ
,,,https://all.rugby/player/swan-cormenier,Swan CORMENIER
Fiji,,,https://all.rugby/player/suliasi-vunivalu,Suliasi VUNIVALU
,,,https://all.rugby/player/suleiman-hartzenberg,Suleiman HARTZENBERG
Ireland,,,https://all.rugby/player/stuart-mccloskey,Stuart MCCLOSKEY
Scotland,,,https://all.rugby/player/stuart-hogg,Stuart HOGG
,,,https://all.rugby/player/stravino-jacobs,Stravino JACOBS
,,,https://all.rugby/player/stewart-moore,Stewart MOORE
,,,https://all.rugby/player/steven-nel,Steven NEL
,,,https://all.rugby/player/steffan-emanuel,Steffan EMANUEL
,,,https://all.rugby/player/steff-thomas,Steff THOMAS
,,,https://all.rugby/player/steff-jac-jones,Steff Jac JONES
,,,https://all.rugby/player/stefan-ungerer,Stefan UNGERER
,,,https://all.rugby/player/steeve-blanc-mappaz,Steeve BLANC-MAPPAZ
,,,https://all.rugby/player/stedman-gans,Stedman GANS
Scotland,,,https://all.rugby/player/stafford-mcdowall,Stafford MCDOWALL
,,,https://all.rugby/player/soumaila-camara,Soumaila CAMARA
,,,https://all.rugby/player/so-otala-fa-aso-o,So'otala FA'ASO'O
,,,https://all.rugby/player/sj-kotze,SJ KOTZE
South Africa,,,https://all.rugby/player/siyabonga-ntubeni,Siyabonga NTUBENI
,,,https://all.rugby/player/siya-masuku,Siya MASUKU
South Africa,,,https://all.rugby/player/siya-kolisi,Siya KOLISI
Tonga,,,https://all.rugby/player/siua-maile,Siua MAILE
,,,https://all.rugby/player/sithembiso-sithole,Sti SITHOLE
,,,https://all.rugby/player/sireli-maqala,Sireli MAQALA
France,,,https://all.rugby/player/sipili-falatea,Sipili FALATEA
,,,https://all.rugby/player/siphosethu-mnebelele,Siphosethu MNEBELELE
Tonga,,,https://all.rugby/player/sione-vailanu,Sione VAILANU
Australia,,,https://all.rugby/player/sione-tuipulotu,Sione TUIPULOTU
Tonga,,,https://all.rugby/player/sione-kalafamoni,Sione KALAMAFONI
,,,https://all.rugby/player/sion-jones,Sion JONES
,,,https://all.rugby/player/sion-davies,Sion DAVIES
,,,https://all.rugby/player/sintu-manjezi,Sintu MANJEZI
,,,https://all.rugby/player/simphiwe-ngobese,Simphiwe NGOBESE
,,,https://all.rugby/player/simphiwe-moyo,Vusi Simphiwe MOYO
,,,https://all.rugby/player/simphiwe-matanzima,Simphiwe MATANZIMA
,,,https://all.rugby/player/simone-gesi,Simone GESI
Italy,,,https://all.rugby/player/simone-ferrari,Simone FERRARI
,,,https://all.rugby/player/simon-meka,Simon MEKA
,,,https://all.rugby/player/simon-bourgeois,Simon BOURGEOIS
,,,https://all.rugby/player/simon-augry,Simon AUGRY
,,,https://all.rugby/player/simeli-daunivucu,Simeli DAUNIVUCU
,,,https://all.rugby/player/sibhale-maxwane,Rabz MAXWANE
,,,https://all.rugby/player/sibabalwe-mahashe,Sibabalwe MAHASHE
,,,https://all.rugby/player/siba-qoma,Siba QOMA
,,,https://all.rugby/player/siate-tokolahi,Siate TOKOLAHI
,,,https://all.rugby/player/shingirai-manyarara,Shingi MANYARARA
,,,https://all.rugby/player/shayne-bolton,Shayne BOLTON
,,,https://all.rugby/player/shay-mccarthy,Shay MCCARTHY
Wales,,,https://all.rugby/player/shane-lewis-hughes,Shane LEWIS-HUGHES
,,,https://all.rugby/player/shane-jennings-,Shane JENNINGS
Ireland,,,https://all.rugby/player/shane-daly,Shane DALY
,,,https://all.rugby/player/shamus-hurley-langton,Shamus HURLEY-LANGTON
Fiji,,,https://all.rugby/player/setariki-tuicuvu,Setariki TUICUVU
Fiji,,,https://all.rugby/player/setareki-turagacoke,Setareki TURAGACOKE
Georgia,,,https://all.rugby/player/sergo-abramishvili,Sergo ABRAMISHVILI
,,,https://all.rugby/player/sergeal-petersen,Sergeal PETERSEN
,,,https://all.rugby/player/semi-lagivala,Semi LAGIVALA
France,,,https://all.rugby/player/selevasio-tolofua,Selevasio TOLOFUA
Fiji,,,https://all.rugby/player/selestino-ravutaumada,Selestino RAVUTAUMADA
France,,,https://all.rugby/player/sekou-macalou,Sékou MACALOU
Samoa,,,https://all.rugby/player/seilala-lam,Seilala LAM
France,,,https://all.rugby/player/sebastien-bezy,Sébastien BÉZY
,,,https://all.rugby/player/sebastian-de-klerk,Sebastian DE KLERK
,,,https://all.rugby/player/seb-stephen,Seb STEPHEN
Italy,,,https://all.rugby/player/seb-negri,Seb NEGRI
,,,https://all.rugby/player/seb-lombard,Seb LOMBARD
Wales,,,https://all.rugby/player/seb-davies,Seb DAVIES
,,,https://all.rugby/player/sean-walsh,Seán WALSH
,,,https://all.rugby/player/sean-reffell,Sean REFFELL
,,,https://all.rugby/player/sean-o-brien-2000,Seán F. O'BRIEN
