name_en,position,caps,club,representative_team,tournament
George Chuter,Hooker,12,Leicester Tigers,England,Rugby World Cup 2007
Lee Mears,Hooker,16,Bath,England,Rugby World Cup 2007
Mark Regan,Hooker,37,Bristol,England,Rugby World Cup 2007
Perry Freshwater,Prop,7,Perpignan,England,Rugby World Cup 2007
Andrew Sheridan,Prop,10,Sale Sharks,England,Rugby World Cup 2007
Matt Stevens,Prop,11,Bath,England,Rugby World Cup 2007
Phil Vickery,Prop,53,Wasps,England,Rugby World Cup 2007
Steve Borthwick,Lock,28,Bath,England,Rugby World Cup 2007
Ben Kay,Lock,45,Leicester Tigers,England,Rugby World Cup 2007
Simon Shaw,Lock,36,Wasps,England,Rugby World Cup 2007
Martin Corry,Flanker,55,Leicester Tigers,England,Rugby World Cup 2007
Lewis Moody,Flanker,45,Leicester Tigers,England,Rugby World Cup 2007
Tom Rees,Flanker,5,Wasps,England,Rugby World Cup 2007
Joe Worsley,Flanker,56,Wasps,England,Rugby World Cup 2007
Lawrence Dallaglio,Number 8,79,Wasps,England,Rugby World Cup 2007
Nick Easter,Number 8,5,Harlequins,England,Rugby World Cup 2007
Andy Gomarsall,Scrum-half,25,Harlequins,England,Rugby World Cup 2007
Shaun Perry,Scrum-half,10,Bristol,England,Rugby World Cup 2007
Peter Richards,Scrum-half,6,London Irish,England,Rugby World Cup 2007
Olly Barkley,Fly-half,16,Bath,England,Rugby World Cup 2007
Jonny Wilkinson,Fly-half,57,Newcastle,England,Rugby World Cup 2007
Toby Flood,Fly-half,9,Newcastle,England,Rugby World Cup 2007
Mike Catt,Centre,69,London Irish,England,Rugby World Cup 2007
Andy Farrell,Centre,3,Saracens,England,Rugby World Cup 2007
Dan Hipkiss,Centre,1,Leicester Tigers,England,Rugby World Cup 2007
Jamie Noon,Centre,24,Newcastle,England,Rugby World Cup 2007
Mathew Tait,Centre,11,Newcastle,England,Rugby World Cup 2007
Mark Cueto,Wing,19,Sale Sharks,England,Rugby World Cup 2007
Josh Lewsey,Wing,47,Wasps,England,Rugby World Cup 2007
Paul Sackey,Wing,2,Wasps,England,Rugby World Cup 2007
Nick Abendanon,Fullback,2,Bath,England,Rugby World Cup 2007
Jason Robinson,Fullback,51,Unattached,England,Rugby World Cup 2007
Tani Fuga,Hooker,1,Harlequins,Samoa,Rugby World Cup 2007
Mahonri Schwalger,Hooker,17,Scarlets,Samoa,Rugby World Cup 2007
Silao Vaisola Sefo,Hooker,0,Alhambra,Samoa,Rugby World Cup 2007
Census Johnston,Prop,11,Saracens,Samoa,Rugby World Cup 2007
Kas Lealamanua,Prop,15,Dax,Samoa,Rugby World Cup 2007
Na'ama Leleimalefaga,Prop,1,Montpellier,Samoa,Rugby World Cup 2007
Fosi Pala'amo,Prop,1,Leeds,Samoa,Rugby World Cup 2007
Muliufi Salanoa,Prop,10,Skopa,Samoa,Rugby World Cup 2007
Justin Va'a,Prop,11,Glasgow Warriors,Samoa,Rugby World Cup 2007
Leo Lafaiali'i,Lock,15,Yokogawa,Samoa,Rugby World Cup 2007
Joe Tekori,Lock,4,Castres,Samoa,Rugby World Cup 2007
Kane Thompson,Lock,5,Dax,Samoa,Rugby World Cup 2007
Daniel Leo,Flanker,11,Wasps,Samoa,Rugby World Cup 2007
Justin Purdie,Flanker,3,Dax,Samoa,Rugby World Cup 2007
Semo Sititi,Flanker,27,Docomo,Samoa,Rugby World Cup 2007
Ulia Ulia,Flanker,9,Marist St. Joseph,Samoa,Rugby World Cup 2007
Henry Tuilagi,Number 8,4,Perpignan,Samoa,Rugby World Cup 2007
Alfie To'oala,Number 8,1,Bristol,Samoa,Rugby World Cup 2007
Junior Poluleuligaga,Scrum-half,5,Toulon,Samoa,Rugby World Cup 2007
Steven So'oialo,Scrum-half,21,Harlequins,Samoa,Rugby World Cup 2007
Loki Crichton,Fly-half,8,Worcester,Samoa,Rugby World Cup 2007
Eliota Fuimaono-Sapolu,Fly-half,5,Bath,Samoa,Rugby World Cup 2007
Brian Lima,Centre,27,Unattached,Samoa,Rugby World Cup 2007
Seilala Mapusua,Centre,9,London Irish,Samoa,Rugby World Cup 2007
Jerry Meafou,Centre,1,Skopa,Samoa,Rugby World Cup 2007
Elvis Seveali'i,Centre,19,Sale Sharks,Samoa,Rugby World Cup 2007
Anitelea Tuilagi,Centre,9,Leeds,Samoa,Rugby World Cup 2007
Lome Fa'atau,Wing,21,Glasgow,Samoa,Rugby World Cup 2007
David Lemi,Wing,6,Bristol,Samoa,Rugby World Cup 2007
Sailosi Tagicakibau,Wing,8,London Irish,Samoa,Rugby World Cup 2007
Alesana Tuilagi,Wing,4,Leicester Tigers,Samoa,Rugby World Cup 2007
Lolo Lui,Fullback,7,Moataa,Samoa,Rugby World Cup 2007
Gavin Williams,Fullback,4,Dax,Samoa,Rugby World Cup 2007
Gary Botha,Hooker,9,Bulls,South Africa,Rugby World Cup 2007
Bismarck du Plessis,Hooker,2,Sharks,South Africa,Rugby World Cup 2007
John Smit,Hooker,67,Sharks,South Africa,Rugby World Cup 2007
BJ Botha,Prop,10,Sharks,South Africa,Rugby World Cup 2007
Jannie du Plessis,Prop,2,Cheetahs,South Africa,Rugby World Cup 2007
Os du Randt,Prop,72,Cheetahs,South Africa,Rugby World Cup 2007
Gurthro Steenkamp,Prop,11,Bulls,South Africa,Rugby World Cup 2007
CJ van der Linde,Prop,39,Cheetahs,South Africa,Rugby World Cup 2007
Bakkies Botha,Lock,35,Bulls,South Africa,Rugby World Cup 2007
Victor Matfield,Lock,58,Bulls,South Africa,Rugby World Cup 2007
Johann Muller,Lock,16,Sharks,South Africa,Rugby World Cup 2007
Albert van den Berg,Lock,46,Sharks,South Africa,Rugby World Cup 2007
Schalk Burger,Flanker,31,Stormers,South Africa,Rugby World Cup 2007
Juan Smith,Flanker,32,Cheetahs,South Africa,Rugby World Cup 2007
Wikus van Heerden,Flanker,7,Bulls,South Africa,Rugby World Cup 2007
Danie Rossouw,Number 8,24,Bulls,South Africa,Rugby World Cup 2007
Bobby Skinstad,Number 8,38,Sharks,South Africa,Rugby World Cup 2007
Fourie du Preez,Scrum-half,30,Bulls,South Africa,Rugby World Cup 2007
Ricky Januarie,Scrum-half,18,Stormers,South Africa,Rugby World Cup 2007
Ruan Pienaar,Scrum-half,12,Sharks,South Africa,Rugby World Cup 2007
Butch James,Fly-half,18,Sharks,South Africa,Rugby World Cup 2007
André Pretorius,Fly-half,24,Lions,South Africa,Rugby World Cup 2007
Jean de Villiers,Centre,31,Stormers,South Africa,Rugby World Cup 2007
Jaque Fourie,Centre,29,Lions,South Africa,Rugby World Cup 2007
Wayne Julies,Centre,10,Bulls,South Africa,Rugby World Cup 2007
Wynand Olivier,Centre,17,Bulls,South Africa,Rugby World Cup 2007
François Steyn,Centre,8,Sharks,South Africa,Rugby World Cup 2007
Bryan Habana,Wing,27,Bulls,South Africa,Rugby World Cup 2007
Akona Ndungane,Wing,8,Bulls,South Africa,Rugby World Cup 2007
JP Pietersen,Wing,6,Sharks,South Africa,Rugby World Cup 2007
Ashwin Willemse,Wing,16,Lions,South Africa,Rugby World Cup 2007
Percy Montgomery,Fullback,85,Sharks,South Africa,Rugby World Cup 2007
Aleki Lutui,Hooker,21,Worcester,Tonga,Rugby World Cup 2007
Ephraim Taukafa,Hooker,19,Lyon,Tonga,Rugby World Cup 2007
Taufaʻao Filise,Prop,14,Cardiff Blues,Tonga,Rugby World Cup 2007
Siosateki Havea Mataʻu,Prop,1,Chalon-sur-Saône,Tonga,Rugby World Cup 2007
Kisi Pulu,Prop,15,Perpignan,Tonga,Rugby World Cup 2007
Toma Toke,Prop,5,Tau'uta Reds,Tonga,Rugby World Cup 2007
Soane Tongaʻuiha,Prop,3,Northampton Saints,Tonga,Rugby World Cup 2007
Inoke Afeaki,Lock,20,Grenoble,Tonga,Rugby World Cup 2007
Lisiate Faʻaoso,Lock,6,Manawatu,Tonga,Rugby World Cup 2007
Paino Hehea,Lock,6,Racing Métro,Tonga,Rugby World Cup 2007
Emosi Kauhenga,Lock,4,Tau'uta Reds,Tonga,Rugby World Cup 2007
Nili Latu,Flanker,12,Green Rockets,Tonga,Rugby World Cup 2007
Maama Molitika,Flanker,15,Cardiff Blues,Tonga,Rugby World Cup 2007
Hale T-Pole,Flanker,6,Ospreys,Tonga,Rugby World Cup 2007
Viliami Vaki,Flanker,25,Perpignan,Tonga,Rugby World Cup 2007
Lotu Filipine,Number 8,5,Big Blue,Tonga,Rugby World Cup 2007
Finau Maka,Number 8,4,Toulouse,Tonga,Rugby World Cup 2007
Soane Havea,Scrum-half,16,Tautahi Gold,Tonga,Rugby World Cup 2007
Enele Taufa,Scrum-half,0,Tau'uta Reds,Tonga,Rugby World Cup 2007
Sione Tuʻipulotu,Scrum-half,23,Yokogawa,Tonga,Rugby World Cup 2007
Pierre Hola,Fly-half,27,Kobelco Steelers,Tonga,Rugby World Cup 2007
Suka Hufanga,Centre,12,Brive,Tonga,Rugby World Cup 2007
Epi Taione,Centre,11,Sharks,Tonga,Rugby World Cup 2007
Hudson Tongaʻuiha,Centre,15,Cergy-Pontoise,Tonga,Rugby World Cup 2007
Isileli Tupou,Centre,6,Tau'uta Reds,Tonga,Rugby World Cup 2007
Aisea Havili,Wing,11,Worcester,Tonga,Rugby World Cup 2007
Ualosi Kailea,Wing,0,Tau'uta Reds,Tonga,Rugby World Cup 2007
Seti Kiole,Wing,8,Montauban,Tonga,Rugby World Cup 2007
Tevita Tuʻifua,Wing,11,Counties Manukau,Tonga,Rugby World Cup 2007
Joseph Wilson Vaka,Wing,4,Tautahi Gold,Tonga,Rugby World Cup 2007
Vunga Lilo,Fullback,3,Cornish Pirates,Tonga,Rugby World Cup 2007
Blake Burdette,Hooker,5,NYAC,United States,Rugby World Cup 2007
Owen Lentz,Hooker,3,Maryland Exiles,United States,Rugby World Cup 2007
Mike MacDonald,Prop,43,Leeds,United States,Rugby World Cup 2007
Matekitonga Moeakiola,Prop,0,Park City Haggis,United States,Rugby World Cup 2007
Chris Osentowski,Prop,14,Belmont Shore,United States,Rugby World Cup 2007
Jonathan Vitale,Prop,3,Chicago Lions,United States,Rugby World Cup 2007
Luke Gross,Lock,62,Doncaster Knights,United States,Rugby World Cup 2007
Mike Mangan,Lock,14,Denver Barbarians,United States,Rugby World Cup 2007
Hayden Mexted,Lock,6,St. Louis Bombers,United States,Rugby World Cup 2007
Alec Parker,Lock,46,Gentlemen of Aspen,United States,Rugby World Cup 2007
John van der Giessen,Lock,0,Denver Barbarians,United States,Rugby World Cup 2007
Mark Aylor,Flanker,8,Denver Barbarians,United States,Rugby World Cup 2007
Inaki Basauri,Flanker,1,Marmande,United States,Rugby World Cup 2007
Todd Clever,Flanker,16,OMBAC,United States,Rugby World Cup 2007
Louis Stanfill,Flanker,5,UC Berkeley,United States,Rugby World Cup 2007
Henry Bloomfield,Number 8,0,Belmont Shore,United States,Rugby World Cup 2007
Fifita Mounga,Number 8,17,San Francisco Golden Gate,United States,Rugby World Cup 2007
Dan Payne,Number 8,1,OMBAC,United States,Rugby World Cup 2007
Chad Erskine,Scrum-half,3,Waterloo,United States,Rugby World Cup 2007
Mike Petri,Scrum-half,0,Belmont Shore,United States,Rugby World Cup 2007
Mike Hercus,Fly-half,31,Belmont Shore,United States,Rugby World Cup 2007
Nese Malifa,Fly-half,3,Belmont Shore,United States,Rugby World Cup 2007
Philip Eloff,Centre,32,Chicago Lions,United States,Rugby World Cup 2007
Paul Emerick,Centre,24,Newport Gwent Dragons,United States,Rugby World Cup 2007
Vahafolau Esikia,Centre,7,San Mateo,United States,Rugby World Cup 2007
Albert Tuipulotu,Centre,16,San Mateo,United States,Rugby World Cup 2007
Takudzwa Ngwenya,Wing,0,Biarritz,United States,Rugby World Cup 2007
Thretton Palamo,Wing,0,San Francisco Golden Gate,United States,Rugby World Cup 2007
Salesi Sika,Wing,13,Béziers,United States,Rugby World Cup 2007
Francois Viljoen,Fullback,18,Belmont Shore,United States,Rugby World Cup 2007
Chris Wyles,Fullback,3,Belmont Shore,United States,Rugby World Cup 2007
Mark Crick,Hooker,3,Potomac Athletic Club,United States,Rugby World Cup 2007
Mike French,Prop,8,OMBAC,United States,Rugby World Cup 2007
Brian LeMay,Prop,0,Boston,United States,Rugby World Cup 2007
Chris Moreno,Prop,0,Denver Barbarians,United States,Rugby World Cup 2007
John van der Giessen,Lock,0,Denver Barbarians,United States,Rugby World Cup 2007
Tyson Meek,Scrum-half,4,Denver Barbarians,United States,Rugby World Cup 2007
Andrew Osborne,Fullback,1,OMBAC,United States,Rugby World Cup 2007
Adam Freier,Hooker,15,Waratahs,Australia,Rugby World Cup 2007
Sean Hardman,Hooker,3,Queensland Reds,Australia,Rugby World Cup 2007
Stephen Moore,Hooker,16,Queensland Reds,Australia,Rugby World Cup 2007
Al Baxter,Prop,47,Waratahs,Australia,Rugby World Cup 2007
Matt Dunning,Prop,32,Waratahs,Australia,Rugby World Cup 2007
Greg Holmes,Prop,11,Queensland Reds,Australia,Rugby World Cup 2007
Guy Shepherdson,Prop,14,Brumbies,Australia,Rugby World Cup 2007
Mark Chisholm,Lock,32,Brumbies,Australia,Rugby World Cup 2007
Hugh McMeniman,Lock,8,Queensland Reds,Australia,Rugby World Cup 2007
Nathan Sharpe,Lock,60,Western Force,Australia,Rugby World Cup 2007
Daniel Vickerman,Lock,48,Waratahs,Australia,Rugby World Cup 2007
Rocky Elsom,Flanker,28,Waratahs,Australia,Rugby World Cup 2007
George Smith,Flanker,79,Brumbies,Australia,Rugby World Cup 2007
Phil Waugh,Flanker,62,Waratahs,Australia,Rugby World Cup 2007
Wycliff Palu,Number 8,13,Waratahs,Australia,Rugby World Cup 2007
Stephen Hoiles,Number 8,10,Brumbies,Australia,Rugby World Cup 2007
Sam Cordingley,Scrum-half,12,Queensland Reds,Australia,Rugby World Cup 2007
George Gregan,Scrum-half,134,Brumbies,Australia,Rugby World Cup 2007
Berrick Barnes,Fly-half,0,Queensland Reds,Australia,Rugby World Cup 2007
Stephen Larkham,Fly-half,101,Brumbies,Australia,Rugby World Cup 2007
Morgan Turinui,Centre,22,Queensland Reds,Australia,Rugby World Cup 2007
Matt Giteau,Centre,47,Western Force,Australia,Rugby World Cup 2007
Stirling Mortlock,Centre,60,Brumbies,Australia,Rugby World Cup 2007
Scott Staniforth,Centre,10,Western Force,Australia,Rugby World Cup 2007
Adam Ashley-Cooper,Wing,8,Brumbies,Australia,Rugby World Cup 2007
Cameron Shepherd,Wing,6,Western Force,Australia,Rugby World Cup 2007
Lote Tuqiri,Wing,53,Waratahs,Australia,Rugby World Cup 2007
Drew Mitchell,Wing,16,Western Force,Australia,Rugby World Cup 2007
Julian Huxley,Fullback,6,Brumbies,Australia,Rugby World Cup 2007
Chris Latham,Fullback,73,Queensland Reds,Australia,Rugby World Cup 2007
Rodney Blake,Prop,7,Queensland Reds,Australia,Rugby World Cup 2007
Tatafu Polota-Nau,Hooker,3,Waratahs,Australia,Rugby World Cup 2007
James Horwill,Lock,1,Queensland Reds,Australia,Rugby World Cup 2007
Alister Campbell,Lock,4,Brumbies,Australia,Rugby World Cup 2007
Matt Cockbain,Flanker,63,Melbourne Rebels,Australia,Rugby World Cup 2007
Jone Tawake,Number 8,0,Brumbies,Australia,Rugby World Cup 2007
Josh Holmes,Scrum-half,0,Brumbies,Australia,Rugby World Cup 2007
Ryan Cross,Centre,0,Western Force,Australia,Rugby World Cup 2007
Clinton Schifcofske,Wing,0,Queensland Reds,Australia,Rugby World Cup 2007
Sam Norton-Knight,Fullback,2,Waratahs,Australia,Rugby World Cup 2007
Aaron Carpenter,Hooker,12,Brantford,Canada,Rugby World Cup 2007
Pat Riordan,Hooker,12,Burnaby Lake,Canada,Rugby World Cup 2007
Scott Franklin,Prop,2,Castaway Wanderers,Canada,Rugby World Cup 2007
Dan Pletch,Prop,16,Oakville Crusaders,Canada,Rugby World Cup 2007
Mike Pletch,Prop,7,Oakville Crusaders,Canada,Rugby World Cup 2007
Rod Snow,Prop,55,Newfoundland Rock,Canada,Rugby World Cup 2007
Jon Thiel,Prop,36,Bayside Sharks,Canada,Rugby World Cup 2007
Mike Burak,Lock,15,Pau,Canada,Rugby World Cup 2007
Mike James,Lock,51,Stade Français,Canada,Rugby World Cup 2007
Josh Jackson,Lock,15,Bordeaux Bègles,Canada,Rugby World Cup 2007
Luke Tait,Lock,11,Overmach Parma,Canada,Rugby World Cup 2007
David Biddle,Flanker,1,Meralomas,Canada,Rugby World Cup 2007
Jamie Cudmore,Flanker,17,Clermont Auvergne,Canada,Rugby World Cup 2007
Adam Kleeberger,Flanker,7,University of Victoria,Canada,Rugby World Cup 2007
Colin Yukes,Flanker,29,Agen,Canada,Rugby World Cup 2007
Sean-Michael Stephen,Number 8,8,Béziers,Canada,Rugby World Cup 2007
Mike Webb,Number 8,15,Swilers,Canada,Rugby World Cup 2007
Ed Fairhurst,Scrum-half,27,Cornish Pirates,Canada,Rugby World Cup 2007
Matt Weingart,Scrum-half,6,Castaway Wanderers,Canada,Rugby World Cup 2007
Morgan Williams,Scrum-half,47,Albi,Canada,Rugby World Cup 2007
Nathan Hirayama,Fly-half,0,University of Victoria,Canada,Rugby World Cup 2007
Ander Monro,Fly-half,6,Waterloo,Canada,Rugby World Cup 2007
Ryan Smith,Fly-half,29,Montauban,Canada,Rugby World Cup 2007
Craig Culpan,Centre,2,Meralomas,Canada,Rugby World Cup 2007
Derek Daypuck,Centre,16,Castaway Wanderers,Canada,Rugby World Cup 2007
Dave Spicer,Centre,8,University of Victoria,Canada,Rugby World Cup 2007
Nick Trenkel,Centre,0,Capilano,Canada,Rugby World Cup 2007
Justin Mensah-Coker,Wing,7,Albi,Canada,Rugby World Cup 2007
James Pritchard,Wing,12,Bedford Blues,Canada,Rugby World Cup 2007
D. T. H. van der Merwe,Wing,2,James Bay AA,Canada,Rugby World Cup 2007
Mike Pyke,Fullback,14,Montauban,Canada,Rugby World Cup 2007
Bill Gadolo,Hooker,19,Barbarians,Fiji,Rugby World Cup 2007
Sunia Koto,Hooker,14,Warriors,Fiji,Rugby World Cup 2007
Vereniki Sauturaga,Hooker,1,Warriors,Fiji,Rugby World Cup 2007
Graham Dewes,Prop,3,Marist,Fiji,Rugby World Cup 2007
Henry Qiodravu,Prop,13,Orléans,Fiji,Rugby World Cup 2007
Jone Railomo,Prop,1,Poitiers,Fiji,Rugby World Cup 2007
Alefoso Yalayalatabua,Prop,4,Warriors,Fiji,Rugby World Cup 2007
Isoa Domolailai,Lock,12,Toulon,Fiji,Rugby World Cup 2007
Kele Leawere,Lock,15,Hino Motors,Fiji,Rugby World Cup 2007
Wame Lewaravu,Lock,2,Barbarians,Fiji,Rugby World Cup 2007
Ifereimi Rawaqa,Lock,34,Fighting Bull,Fiji,Rugby World Cup 2007
Semisi Naevo,Flanker,2,Green Rockets,Fiji,Rugby World Cup 2007
Akapusi Qera,Flanker,12,Pertemps Bees,Fiji,Rugby World Cup 2007
Aca Ratuva,Flanker,11,Massy,Fiji,Rugby World Cup 2007
Netani Talei,Flanker,6,Doncaster Knights,Fiji,Rugby World Cup 2007
Sisa Koyamaibole,Number 8,44,Petrarca Padova,Fiji,Rugby World Cup 2007
Jone Qovu,Number 8,8,Warriors,Fiji,Rugby World Cup 2007
Jone Daunivucu,Scrum-half,1,Tarbes,Fiji,Rugby World Cup 2007
Mosese Rauluni,Scrum-half,35,Saracens,Fiji,Rugby World Cup 2007
Nicky Little,Fly-half,79,Petrarca Padova,Fiji,Rugby World Cup 2007
Waisea Luveniyali,Fly-half,1,Warriors,Fiji,Rugby World Cup 2007
Seremaia Bai,Centre,28,Clermont,Fiji,Rugby World Cup 2007
Maleli Kunavore,Centre,5,Toulouse,Fiji,Rugby World Cup 2007
Gabiriele Lovobalavu,Centre,4,Warriors,Fiji,Rugby World Cup 2007
Seru Rabeni,Centre,26,Leicester Tigers,Fiji,Rugby World Cup 2007
Sireli Bobo,Wing,9,Biarritz,Fiji,Rugby World Cup 2007
Vilimoni Delasau,Wing,24,Clermont,Fiji,Rugby World Cup 2007
Isoa Neivua,Wing,6,Warriors,Fiji,Rugby World Cup 2007
Norman Ligairi,Fullback,39,Brive,Fiji,Rugby World Cup 2007
Kameli Ratuvou,Fullback,15,Saracens,Fiji,Rugby World Cup 2007
Ryo Yamamura,Prop,34,Jubilo,Japan,Rugby World Cup 2007
Masahito Yamamoto,Prop,25,Verblitz,Japan,Rugby World Cup 2007
Tomokazu Soma,Prop,13,Wild Knights,Japan,Rugby World Cup 2007
Tatsukichi Nishiura,Prop,7,West Red Sparks,Japan,Rugby World Cup 2007
Yuji Matsubara,Hooker,19,Kobelco Steelers,Japan,Rugby World Cup 2007
Yusuke Aoki,Hooker,2,Verblitz,Japan,Rugby World Cup 2007
Hitoshi Ono,Lock,20,Brave Lupus,Japan,Rugby World Cup 2007
Takanori Kumagae,Lock,25,Green Rockets,Japan,Rugby World Cup 2007
Luatangi Vatuvei,Lock,20,Liners,Japan,Rugby World Cup 2007
Luke Thompson,Lock,5,Liners,Japan,Rugby World Cup 2007
Yasunori Watanabe,Flanker,30,Brave Lupus,Japan,Rugby World Cup 2007
Hajime Kiso,Flanker,28,Jubilo,Japan,Rugby World Cup 2007
Hare Makiri,Flanker,16,Fukuoka,Japan,Rugby World Cup 2007
Philip O'Reilly,Flanker,5,Wild Knights,Japan,Rugby World Cup 2007
Takamichi Sasaki,Flanker,5,Sungoliath,Japan,Rugby World Cup 2007
Takuro Miuchi,Number 8,36,Green Rockets,Japan,Rugby World Cup 2007
Yuki Yatomi,Scrum-half,7,Jubilo,Japan,Rugby World Cup 2007
Tomoki Yoshida,Scrum-half,4,Brave Lupus,Japan,Rugby World Cup 2007
Kim Chul-won,Scrum-half,0,Liners,Japan,Rugby World Cup 2007
Eiji Ando,Fly-half,12,Green Rockets,Japan,Rugby World Cup 2007
Kousei Ono,Fly-half,3,Fukuoka,Japan,Rugby World Cup 2007
Shotaro Onishi,Centre,24,Jubilo,Japan,Rugby World Cup 2007
Nataniela Oto,Centre,11,Brave Lupus,Japan,Rugby World Cup 2007
Yuta Imamura,Centre,11,Kobelco Steelers,Japan,Rugby World Cup 2007
Koji Taira,Centre,3,Sungoliath,Japan,Rugby World Cup 2007
Bryce Robins,Centre,6,Black Rams,Japan,Rugby World Cup 2007
Hirotoki Onozawa,Wing,35,Sungoliath,Japan,Rugby World Cup 2007
Kosuke Endo,Wing,13,Verblitz,Japan,Rugby World Cup 2007
Tomoki Kitagawa,Wing,2,Wild Knights,Japan,Rugby World Cup 2007
Christian Loamanu,Wing,7,Saitama,Japan,Rugby World Cup 2007
Go Aruga,Fullback,7,Sungoliath,Japan,Rugby World Cup 2007
Takahiro Sugiura,Prop,1,Fukuoka,Japan,Rugby World Cup 2007
Yuta Inose,Prop,0,Green Rockets,Japan,Rugby World Cup 2007
Taku Inokuchi,Hooker,1,Brave Lupus,Japan,Rugby World Cup 2007
Ryota Asano,Flanker,20,Green Rockets,Japan,Rugby World Cup 2007
James Arlidge,Fly-half,1,Docomo,Japan,Rugby World Cup 2007
Huw Bennett,Hooker,12,Ospreys,Wales,Rugby World Cup 2007
Matthew Rees,Hooker,11,Llanelli Scarlets,Wales,Rugby World Cup 2007
T. Rhys Thomas,Hooker,10,Cardiff Blues,Wales,Rugby World Cup 2007
Chris Horsman,Prop,11,Worcester Warriors,Wales,Rugby World Cup 2007
Gethin Jenkins,Prop,46,Cardiff Blues,Wales,Rugby World Cup 2007
Adam Jones,Prop,41,Ospreys,Wales,Rugby World Cup 2007
Duncan Jones,Prop,38,Ospreys,Wales,Rugby World Cup 2007
Ian Evans,Lock,5,Ospreys,Wales,Rugby World Cup 2007
Ian Gough,Lock,40,Ospreys,Wales,Rugby World Cup 2007
Will James,Lock,1,Gloucester,Wales,Rugby World Cup 2007
Alun Wyn Jones,Lock,11,Ospreys,Wales,Rugby World Cup 2007
Colin Charvis,Flanker,87,Newport Gwent Dragons,Wales,Rugby World Cup 2007
Martyn Williams,Flanker,70,Cardiff Blues,Wales,Rugby World Cup 2007
Jonathan Thomas,Flanker,34,Ospreys,Wales,Rugby World Cup 2007
Michael Owen,Number 8,37,Newport Gwent Dragons,Wales,Rugby World Cup 2007
Alix Popham,Number 8,30,Llanelli Scarlets,Wales,Rugby World Cup 2007
Gareth Cooper,Scrum-half,34,Gloucester,Wales,Rugby World Cup 2007
Dwayne Peel,Scrum-half,53,Llanelli Scarlets,Wales,Rugby World Cup 2007
Mike Phillips,Scrum-half,22,Ospreys,Wales,Rugby World Cup 2007
Stephen Jones,Fly-half,62,Llanelli Scarlets,Wales,Rugby World Cup 2007
Ceri Sweeney,Fly-half,32,Newport Gwent Dragons,Wales,Rugby World Cup 2007
James Hook,Centre,13,Ospreys,Wales,Rugby World Cup 2007
Sonny Parker,Centre,23,Ospreys,Wales,Rugby World Cup 2007
Jamie Robinson,Centre,20,Cardiff Blues,Wales,Rugby World Cup 2007
Tom Shanklin,Centre,41,Cardiff Blues,Wales,Rugby World Cup 2007
Dafydd James,Wing,46,Llanelli Scarlets,Wales,Rugby World Cup 2007
Mark Jones,Wing,29,Llanelli Scarlets,Wales,Rugby World Cup 2007
Shane Williams,Wing,46,Ospreys,Wales,Rugby World Cup 2007
Kevin Morgan,Fullback,43,Newport Gwent Dragons,Wales,Rugby World Cup 2007
Gareth Thomas,Fullback,95,Cardiff Blues,Wales,Rugby World Cup 2007
Carlo Festuccia,Hooker,39,Gran Parma,Italy,Rugby World Cup 2007
Leonardo Ghiraldini,Hooker,5,Calvisano,Italy,Rugby World Cup 2007
Fabio Ongaro,Hooker,49,Saracens,Italy,Rugby World Cup 2007
Matías Agüero,Prop,7,Viadana,Italy,Rugby World Cup 2007
Martin Castrogiovanni,Prop,45,Leicester Tigers,Italy,Rugby World Cup 2007
Andrea Lo Cicero,Prop,67,L'Aquila,Italy,Rugby World Cup 2007
Salvatore Perugini,Prop,44,Toulouse,Italy,Rugby World Cup 2007
Valerio Bernabò,Lock,11,Calvisano,Italy,Rugby World Cup 2007
Marco Bortolami,Lock,61,Gloucester,Italy,Rugby World Cup 2007
Carlo Del Fava,Lock,21,Bourgoin,Italy,Rugby World Cup 2007
Santiago Dellapè,Lock,44,Biarritz Olympique,Italy,Rugby World Cup 2007
Mauro Bergamasco,Flanker,58,Stade Français,Italy,Rugby World Cup 2007
Silvio Orlando,Flanker,13,Benetton Treviso,Italy,Rugby World Cup 2007
Josh Sole,Flanker,21,Viadana,Italy,Rugby World Cup 2007
Alessandro Zanni,Flanker,16,Calvisano,Italy,Rugby World Cup 2007
Sergio Parisse,Number 8,42,Stade Français,Italy,Rugby World Cup 2007
Manoa Vosawai,Number 8,2,Overmach Parma,Italy,Rugby World Cup 2007
Paul Griffen,Scrum-half,35,Calvisano,Italy,Rugby World Cup 2007
Alessandro Troncon,Scrum-half,97,Clermont Auvergne,Italy,Rugby World Cup 2007
Roland de Marigny,Fly-half,17,Calvisano,Italy,Rugby World Cup 2007
Ramiro Pez,Fly-half,38,Bayonne,Italy,Rugby World Cup 2007
Mirco Bergamasco,Centre,44,Stade Français,Italy,Rugby World Cup 2007
Gonzalo Canale,Centre,33,Clermont Auvergne,Italy,Rugby World Cup 2007
Andrea Masi,Centre,31,Biarritz Olympique,Italy,Rugby World Cup 2007
Pablo Canavosio,Wing,16,Castres Olympique,Italy,Rugby World Cup 2007
Matteo Pratichetti,Wing,7,Calvisano,Italy,Rugby World Cup 2007
Kaine Robertson,Wing,23,Viadana,Italy,Rugby World Cup 2007
Marko Stanojevic,Wing,6,Bristol,Italy,Rugby World Cup 2007
David Bortolussi,Fullback,10,Montpellier Hérault,Italy,Rugby World Cup 2007
Ezio Galon,Fullback,11,Overmach Parma,Italy,Rugby World Cup 2007
