name_en,first_name,last_name,position,team,league
G. Furbank,G.,Furbank,Fullback,Northampton Saints,premiership
W. Glister,W.,Glister,Wing,Northampton Saints,premiership
G. Hendy,G.,Hendy,Fullback,Northampton Saints,premiership
R. Hutchinson,R.,Hutchinson,Centre,Northampton Saints,premiership
T. James,T.,James,Scrum-half,Northampton Saints,premiership
T. Litchfield,T.,Litchfield,Centre,Northampton Saints,premiership
H. Lumley,H.,Lumley,Centre,Northampton Saints,premiership
J. Martin,J.,Martin,Wing,Northampton Saints,premiership
A. McParland,A.,McParland,Scrum-half,Northampton Saints,premiership
A. Mitchell,A.,Mitchell,Scrum-half,Northampton Saints,premiership
B. Pasco,B.,Pasco,Centre,Northampton Saints,premiership
J. Pater,J.,Pater,Fullback,Northampton Saints,premiership
A. Pugh,A.,Pugh,Scrum-half,Northampton Saints,premiership
J. Ramm,J.,Ramm,Wing,Northampton Saints,premiership
T. Rowe,T.,Rowe,Wing,Northampton Saints,premiership
O. Sleightholme,O.,Sleightholme,Wing,Northampton Saints,premiership
F. Smith,F.,Smith,Fly-half,Northampton Saints,premiership
F. St John,F.,St John,Centre,Northampton Saints,premiership
T. Thame,T.,Thame,Centre,Northampton Saints,premiership
E. Todaro,E.,Todaro,Centre,Northampton Saints,premiership
J. Weimann,J.,Weimann,Scrum-half,Northampton Saints,premiership
H. Andrews,H.,Andrews,Lock,Sale Sharks,premiership
B. Bamber,B.,Bamber,Lock,Sale Sharks,premiership
P. Bell,P.,Bell,Prop,Sale Sharks,premiership
R. Birch,R.,Birch,Flanker,Sale Sharks,premiership
T. Burrow,T.,Burrow,Lock,Sale Sharks,premiership
E. Caine,E.,Caine,Hooker,Sale Sharks,premiership
L. Cowan-Dickie,L.,Cowan-Dickie,Hooker,Sale Sharks,premiership
B. Curry,B.,Curry,Flanker,Sale Sharks,premiership
T. Curry,T.,Curry,Flanker,Sale Sharks,premiership
H. Davies,H.,Davies,Flanker,Sale Sharks,premiership
S. Dugdale,S.,Dugdale,Flanker,Sale Sharks,premiership
J. Gilmore,J.,Gilmore,Lock,Sale Sharks,premiership
J. Harper,J.,Harper,Prop,Sale Sharks,premiership
D. Hodkinson,D.,Hodkinson,Lock,Sale Sharks,premiership
P. Hogg,P.,Hogg,Lock,Sale Sharks,premiership
N. Jibulu,N.,Jibulu,Hooker,Sale Sharks,premiership
W. John,W.,John,Prop,Sale Sharks,premiership
S. Kelly,S.,Kelly,Flanker,Sale Sharks,premiership
R. Logan,R.,Logan,Flanker,Sale Sharks,premiership
A. Longstaff,A.,Longstaff,Hooker,Sale Sharks,premiership
R. McEachran,R.,McEachran,Prop,Sale Sharks,premiership
T. McElroy,T.,McElroy,Hooker,Sale Sharks,premiership
S. McIntyre,S.,McIntyre,Prop,Sale Sharks,premiership
T. Onasanya,T.,Onasanya,Prop,Sale Sharks,premiership
A. Opoku-Fordjour,A.,Opoku-Fordjour,Prop,Sale Sharks,premiership
T. Raymont,T.,Raymont,Prop,Sale Sharks,premiership
B. Rodd,B.,Rodd,Prop,Sale Sharks,premiership
J. Vermeulen,J.,Vermeulen,Flanker,Sale Sharks,premiership
T. Woodman,T.,Woodman,Flanker,Sale Sharks,premiership
D. du Preez,D.,du Preez,Flanker,Sale Sharks,premiership
E. van Rhyn,E.,van Rhyn,Lock,Sale Sharks,premiership
S. Bedlow,S.,Bedlow,Centre,Sale Sharks,premiership
J. Bedlow,J.,Bedlow,Centre,Sale Sharks,premiership
A. Bradshaw,A.,Bradshaw,Wing,Sale Sharks,premiership
J. Carpenter,J.,Carpenter,Fullback,Sale Sharks,premiership
T. Curtis,T.,Curtis,Fly-half,Sale Sharks,premiership
O. Davies,O.,Davies,Fly-half,Sale Sharks,premiership
O. Ene,O.,Ene,Wing,Sale Sharks,premiership
G. Ford,G.,Ford,Fly-half,Sale Sharks,premiership
R. Grace,R.,Grace,Wing,Sale Sharks,premiership
D. Hanson,D.,Hanson,Scrum-half,Sale Sharks,premiership
L. James,L.,James,Centre,Sale Sharks,premiership
S. Krippner,S.,Krippner,Wing,Sale Sharks,premiership
M. Louw,M.,Louw,Centre,Sale Sharks,premiership
R. Ma'asi-White,R.,Ma'asi-White,Centre,Sale Sharks,premiership
T. O'Flaherty,T.,O'Flaherty,Wing,Sale Sharks,premiership
R. Quirke,R.,Quirke,Scrum-half,Sale Sharks,premiership
A. Reed,A.,Reed,Wing,Sale Sharks,premiership
O. Roberts,O.,Roberts,Centre,Sale Sharks,premiership
T. Roebuck,T.,Roebuck,Wing,Sale Sharks,premiership
N. Thomas,N.,Thomas,Scrum-half,Sale Sharks,premiership
G. Warr,G.,Warr,Scrum-half,Sale Sharks,premiership
G. Wehr,G.,Wehr,Wing,Sale Sharks,premiership
A. Wills,A.,Wills,Wing,Sale Sharks,premiership
T. Wilson,T.,Wilson,Centre,Sale Sharks,premiership
W. Wootton,W.,Wootton,Scrum-half,Sale Sharks,premiership
R. du Preez,R.,du Preez,Fly-half,Sale Sharks,premiership
T. Adegbemile,T.,Adegbemile,Lock,Saracens,premiership
S. Adejimi,S.,Adejimi,Hooker,Saracens,premiership
H. Beaton,H.,Beaton,Prop,Saracens,premiership
P. Brantingham,P.,Brantingham,Prop,Saracens,premiership
R. Carre,R.,Carre,Prop,Saracens,premiership
A. Clarey,A.,Clarey,Prop,Saracens,premiership
E. Clarke,E.,Clarke,Hooker,Saracens,premiership
T. Dan,T.,Dan,Hooker,Saracens,premiership
M. Dehauteur,M.,Dehauteur,Lock,Saracens,premiership
B. Earl,B.,Earl,Flanker,Saracens,premiership
J. George,J.,George,Hooker,Saracens,premiership
J. Gonzalez,J.,Gonzalez,Flanker,Saracens,premiership
J. Hadfield,J.,Hadfield,Hooker,Saracens,premiership
R. Hammick,R.,Hammick,Flanker,Saracens,premiership
N. Isiekwe,N.,Isiekwe,Lock,Saracens,premiership
M. Itoje,M.,Itoje,Lock,Saracens,premiership
T. Knight,T.,Knight,Flanker,Saracens,premiership
E. Mawi,E.,Mawi,Prop,Saracens,premiership
T. McFarland,T.,McFarland,Flanker,Saracens,premiership
N. Michelow,N.,Michelow,Flanker,Saracens,premiership
V. Nairau,V.,Nairau,Prop,Saracens,premiership
A. O'Driscoll,A.,O'Driscoll,Prop,Saracens,premiership
A. Onyeama-Christie,A.,Onyeama-Christie,Flanker,Saracens,premiership
K. Pearce-Paul,K.,Pearce-Paul,Lock,Saracens,premiership
M. Riccioni,M.,Riccioni,Prop,Saracens,premiership
O. Sodeke,O.,Sodeke,Lock,Saracens,premiership
M. Street,M.,Street,Prop,Saracens,premiership
K. Sylvester-Junior,K.,Sylvester-Junior,Lock,Saracens,premiership
H. Tizard,H.,Tizard,Lock,Saracens,premiership
T. Tuimauga,T.,Tuimauga,Prop,Saracens,premiership
C. West,C.,West,Flanker,Saracens,premiership
T. Willis,T.,Willis,No. 8,Saracens,premiership
H. Wilson,H.,Wilson,Lock,Saracens,premiership
L. Young,L.,Young,Hooker,Saracens,premiership
C. Bracken,C.,Bracken,Scrum-half,Saracens,premiership
J. Bracken,J.,Bracken,Wing,Saracens,premiership
F. Burke,F.,Burke,Fly-half,Saracens,premiership
N. Caluori,N.,Caluori,Wing,Saracens,premiership
L. Cinti,L.,Cinti,Centre,Saracens,premiership
E. Daly,E.,Daly,Centre,Saracens,premiership
L. Davidson,L.,Davidson,Fly-half,Saracens,premiership
T. Elliott,T.,Elliott,Wing,Saracens,premiership
O. Farrell,O.,Farrell,Fly-half,Saracens,premiership
A. Hall,A.,Hall,Centre,Saracens,premiership
O. Hartley,O.,Hartley,Centre,Saracens,premiership
C. Hutchison,C.,Hutchison,Centre,Saracens,premiership
B. Jackson,B.,Jackson,Wing,Saracens,premiership
L. Johnson,L.,Johnson,Fly-half,Saracens,premiership
S. Kava,S.,Kava,Wing,Saracens,premiership
F. Keylock,F.,Keylock,Fly-half,Saracens,premiership
A. Lozowski,A.,Lozowski,Centre,Saracens,premiership
M. Malins,M.,Malins,Wing,Saracens,premiership
B. Morrow,B.,Morrow,Wing,Saracens,premiership
R. Segun,R.,Segun,Wing,Saracens,premiership
G. Simpson,G.,Simpson,Scrum-half,Saracens,premiership
S. Spink,S.,Spink,Centre,Saracens,premiership
N. Tompkins,N.,Tompkins,Centre,Saracens,premiership
I. van Zyl,I.,van Zyl,Scrum-half,Saracens,premiership
