title,title_en,position,team_name,height,weight,birthday,age,school,shusshin,shikaku,type,url,career_history,caps,representative_team,scraped_url,career_history_en,name_en,name_jp,league
C. Turnbull,C. Turnbull,Hooker,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),C. Turnbull,,premiership
O. Usher,O. Usher,Lock,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),O. Usher,,premiership
L. de Bruin,L. de Bruin,Prop,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),L. de Bruin,,premiership
S. de Chaves,S. de Chaves,Lock,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),S. de Chaves,,premiership
Sammy Arnold,Sammy Arnold,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),Sammy Arnold,,premiership
R. Beeckmans,R. Beeckmans,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),R. Beeckmans,,premiership
S. Benitez Cruz,S. Benitez Cruz,Scrum-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),S. Benitez Cruz,,premiership
B. Chamberlain,B. Chamberlain,Fly-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),B. Chamberlain,,premiership
M. Clark,M. Clark,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),M. Clark,,premiership
S. Coetzee,S. Coetzee,Wing,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),S. Coetzee,,premiership
B. Connon,B. Connon,Fly-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),B. Connon,,premiership
J. Davis,J. Davis,Scrum-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),J. Davis,,premiership
J. Dickens,J. Dickens,Scrum-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),J. Dickens,,premiership
C. Doherty,C. Doherty,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),C. Doherty,,premiership
J. Elliott,J. Elliott,Scrum-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),J. Elliott,,premiership
E. Grayson,E. Grayson,Fly-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),E. Grayson,,premiership
J. Grayson,J. Grayson,Wing,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),J. Grayson,,premiership
N. Greenwood,N. Greenwood,Wing,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),N. Greenwood,,premiership
A. Hearle,A. Hearle,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),A. Hearle,,premiership
C. Hutchison,C. Hutchison,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),C. Hutchison,,premiership
S. Moore,S. Moore,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),S. Moore,,premiership
J. Newton,J. Newton,Fly-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),J. Newton,,premiership
H. Obatoyinbo,H. Obatoyinbo,Wing,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),H. Obatoyinbo,,premiership
E. Obatoyinbo,E. Obatoyinbo,Fullback,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),E. Obatoyinbo,,premiership
O. Spencer,O. Spencer,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),O. Spencer,,premiership
S. Stuart,S. Stuart,Scrum-half,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),S. Stuart,,premiership
Christian Wade,Christian Wade,Wing,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),Christian Wade,,premiership
S. Waugh,S. Waugh,Centre,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),S. Waugh,,premiership
Liam Williams,Liam Williams,Fullback,Newcastle Falcons,,,,,,,,A,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),Liam Williams,,premiership
A. Ainsworth-Cave,A. Ainsworth-Cave,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),A. Ainsworth-Cave,,premiership
B. Alexander,B. Alexander,Hooker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),B. Alexander,,premiership
E. Atuanya,E. Atuanya,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),E. Atuanya,,premiership
J. Bennett,J. Bennett,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. Bennett,,premiership
A. Benson,A. Benson,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),A. Benson,,premiership
F. Brown,F. Brown,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),F. Brown,,premiership
Callum Chick,Callum Chick,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Callum Chick,,premiership
Alex Coles,Alex Coles,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Alex Coles,,premiership
J. Cowell,J. Cowell,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. Cowell,,premiership
Trevor Davison,Trevor Davison,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Trevor Davison,,premiership
Danilo Fischetti,Danilo Fischetti,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Danilo Fischetti,,premiership
S. Graham,S. Graham,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),S. Graham,,premiership
L. Green,L. Green,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),L. Green,,premiership
E. Iyogun,E. Iyogun,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),E. Iyogun,,premiership
Josh Kemeny,Josh Kemeny,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Josh Kemeny,,premiership
Cleopas Kundiona,Cleopas Kundiona,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Cleopas Kundiona,,premiership
Curtis Langdon,Curtis Langdon,Hooker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Curtis Langdon,,premiership
J. Lewis,J. Lewis,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. Lewis,,premiership
T. Lockett,T. Lockett,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),T. Lockett,,premiership
Marco Manfredi,Marco Manfredi,Hooker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Marco Manfredi,,premiership
E. Millar-Mills,E. Millar-Mills,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),E. Millar-Mills,,premiership
C. Munga,C. Munga,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),C. Munga,,premiership
Tom Pearson,Tom Pearson,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Tom Pearson,,premiership
Henry Pollock,Henry Pollock,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Henry Pollock,,premiership
E. Prowse,E. Prowse,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),E. Prowse,,premiership
O. Scola,O. Scola,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),O. Scola,,premiership
A. Scott-Young,A. Scott-Young,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),A. Scott-Young,,premiership
Robbie Smith,Robbie Smith,Hooker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Robbie Smith,,premiership
S. Tonga'uiha,S. Tonga'uiha,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),S. Tonga'uiha,,premiership
C. Ulcoq,C. Ulcoq,Flanker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),C. Ulcoq,,premiership
H. Walker,H. Walker,Hooker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),H. Walker,,premiership
T. West,T. West,Prop,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),T. West,,premiership
C. Wright,C. Wright,Hooker,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),C. Wright,,premiership
J. van der Mescht,J. van der Mescht,Lock,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. van der Mescht,,premiership
Anthony Belleau,Anthony Belleau,Fly-half,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Anthony Belleau,,premiership
A. Caqusau,A. Caqusau,Wing,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),A. Caqusau,,premiership
Fraser Dingwall,Fraser Dingwall,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Fraser Dingwall,,premiership
Tommy Freeman,Tommy Freeman,Wing,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Tommy Freeman,,premiership
George Furbank,George Furbank,Fullback,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),George Furbank,,premiership
W. Glister,W. Glister,Wing,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),W. Glister,,premiership
G. Hendy,G. Hendy,Fullback,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),G. Hendy,,premiership
Rory Hutchinson,Rory Hutchinson,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Rory Hutchinson,,premiership
T. James,T. James,Scrum-half,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),T. James,,premiership
T. Litchfield,T. Litchfield,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),T. Litchfield,,premiership
H. Lumley,H. Lumley,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),H. Lumley,,premiership
J. Martin,J. Martin,Wing,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. Martin,,premiership
A. McParland,A. McParland,Scrum-half,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),A. McParland,,premiership
Alex Mitchell,Alex Mitchell,Scrum-half,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Alex Mitchell,,premiership
B. Pasco,B. Pasco,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),B. Pasco,,premiership
J. Pater,J. Pater,Fullback,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. Pater,,premiership
A. Pugh,A. Pugh,Scrum-half,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),A. Pugh,,premiership
J. Ramm,J. Ramm,Wing,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. Ramm,,premiership
T. Rowe,T. Rowe,Wing,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),T. Rowe,,premiership
Ollie Sleightholme,Ollie Sleightholme,Wing,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Ollie Sleightholme,,premiership
Fin Smith,Fin Smith,Fly-half,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),Fin Smith,,premiership
F. St John,F. St John,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),F. St John,,premiership
T. Thame,T. Thame,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),T. Thame,,premiership
E. Todaro,E. Todaro,Centre,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),E. Todaro,,premiership
J. Weimann,J. Weimann,Scrum-half,Northampton Saints,,,,,,,,A,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),J. Weimann,,premiership
H. Andrews,H. Andrews,Lock,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),H. Andrews,,premiership
B. Bamber,B. Bamber,Lock,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),B. Bamber,,premiership
P. Bell,P. Bell,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),P. Bell,,premiership
R. Birch,R. Birch,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),R. Birch,,premiership
T. Burrow,T. Burrow,Lock,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. Burrow,,premiership
E. Caine,E. Caine,Hooker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),E. Caine,,premiership
Luke Cowan-Dickie,Luke Cowan-Dickie,Hooker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Luke Cowan-Dickie,,premiership
Ben Curry,Ben Curry,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Ben Curry,,premiership
Tom Curry,Tom Curry,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Tom Curry,,premiership
H. Davies,H. Davies,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),H. Davies,,premiership
S. Dugdale,S. Dugdale,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),S. Dugdale,,premiership
J. Gilmore,J. Gilmore,Lock,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),J. Gilmore,,premiership
J. Harper,J. Harper,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),J. Harper,,premiership
D. Hodkinson,D. Hodkinson,Lock,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),D. Hodkinson,,premiership
P. Hogg,P. Hogg,Lock,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),P. Hogg,,premiership
N. Jibulu,N. Jibulu,Hooker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),N. Jibulu,,premiership
WillGriff John,WillGriff John,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),WillGriff John,,premiership
S. Kelly,S. Kelly,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),S. Kelly,,premiership
R. Logan,R. Logan,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),R. Logan,,premiership
A. Longstaff,A. Longstaff,Hooker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),A. Longstaff,,premiership
R. McEachran,R. McEachran,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),R. McEachran,,premiership
T. McElroy,T. McElroy,Hooker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. McElroy,,premiership
S. McIntyre,S. McIntyre,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),S. McIntyre,,premiership
T. Onasanya,T. Onasanya,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. Onasanya,,premiership
Asher Opoku-Fordjour,Asher Opoku-Fordjour,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Asher Opoku-Fordjour,,premiership
T. Raymont,T. Raymont,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. Raymont,,premiership
Bevan Rodd,Bevan Rodd,Prop,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Bevan Rodd,,premiership
J. Vermeulen,J. Vermeulen,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),J. Vermeulen,,premiership
T. Woodman,T. Woodman,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. Woodman,,premiership
Dan du Preez,Dan du Preez,Flanker,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Dan du Preez,,premiership
E. van Rhyn,E. van Rhyn,Lock,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),E. van Rhyn,,premiership
S. Bedlow,S. Bedlow,Centre,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),S. Bedlow,,premiership
J. Bedlow,J. Bedlow,Centre,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),J. Bedlow,,premiership
A. Bradshaw,A. Bradshaw,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),A. Bradshaw,,premiership
J. Carpenter,J. Carpenter,Fullback,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),J. Carpenter,,premiership
T. Curtis,T. Curtis,Fly-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. Curtis,,premiership
O. Davies,O. Davies,Fly-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),O. Davies,,premiership
O. Ene,O. Ene,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),O. Ene,,premiership
George Ford,George Ford,Fly-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),George Ford,,premiership
R. Grace,R. Grace,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),R. Grace,,premiership
D. Hanson,D. Hanson,Scrum-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),D. Hanson,,premiership
L. James,L. James,Centre,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),L. James,,premiership
S. Krippner,S. Krippner,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),S. Krippner,,premiership
M. Louw,M. Louw,Centre,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),M. Louw,,premiership
R. Ma'asi-White,R. Ma'asi-White,Centre,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),R. Ma'asi-White,,premiership
T. O'Flaherty,T. O'Flaherty,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. O'Flaherty,,premiership
Raffi Quirke,Raffi Quirke,Scrum-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Raffi Quirke,,premiership
Arron Reed,Arron Reed,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Arron Reed,,premiership
O. Roberts,O. Roberts,Centre,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),O. Roberts,,premiership
Tom Roebuck,Tom Roebuck,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Tom Roebuck,,premiership
N. Thomas,N. Thomas,Scrum-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),N. Thomas,,premiership
Gus Warr,Gus Warr,Scrum-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Gus Warr,,premiership
G. Wehr,G. Wehr,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),G. Wehr,,premiership
A. Wills,A. Wills,Wing,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),A. Wills,,premiership
T. Wilson,T. Wilson,Centre,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),T. Wilson,,premiership
W. Wootton,W. Wootton,Scrum-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),W. Wootton,,premiership
Robert du Preez,Robert du Preez,Fly-half,Sale Sharks,,,,,,,,A,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),Robert du Preez,,premiership
T. Adegbemile,T. Adegbemile,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),T. Adegbemile,,premiership
S. Adejimi,S. Adejimi,Hooker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),S. Adejimi,,premiership
H. Beaton,H. Beaton,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),H. Beaton,,premiership
P. Brantingham,P. Brantingham,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),P. Brantingham,,premiership
R. Carre,R. Carre,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),R. Carre,,premiership
A. Clarey,A. Clarey,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),A. Clarey,,premiership
E. Clarke,E. Clarke,Hooker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),E. Clarke,,premiership
Theo Dan,Theo Dan,Hooker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Theo Dan,,premiership
M. Dehauteur,M. Dehauteur,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),M. Dehauteur,,premiership
B. Earl,B. Earl,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),B. Earl,,premiership
J. George,J. George,Hooker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),J. George,,premiership
J. Gonzalez,J. Gonzalez,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),J. Gonzalez,,premiership
J. Hadfield,J. Hadfield,Hooker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),J. Hadfield,,premiership
R. Hammick,R. Hammick,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),R. Hammick,,premiership
Nick Isiekwe,Nick Isiekwe,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Nick Isiekwe,,premiership
M. Itoje,M. Itoje,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),M. Itoje,,premiership
T. Knight,T. Knight,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),T. Knight,,premiership
Eroni Mawi,Eroni Mawi,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Eroni Mawi,,premiership
Theo McFarland,Theo McFarland,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Theo McFarland,,premiership
N. Michelow,N. Michelow,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),N. Michelow,,premiership
V. Nairau,V. Nairau,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),V. Nairau,,premiership
A. O'Driscoll,A. O'Driscoll,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),A. O'Driscoll,,premiership
Andy Onyeama-Christie,Andy Onyeama-Christie,Flanker,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Andy Onyeama-Christie,,premiership
K. Pearce-Paul,K. Pearce-Paul,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),K. Pearce-Paul,,premiership
Marco Riccioni,Marco Riccioni,Prop,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),Marco Riccioni,,premiership
O. Sodeke,O. Sodeke,Lock,Saracens,,,,,,,,A,,Saracens (2025 - ),,,,Saracens (2025 - ),O. Sodeke,,premiership
